JUNO Address	JUNO GLTO Amount	OSMO Address	OSMO GLTO Amount	GLTO Total Amount
juno1njty28rqtpw6n59sjj4esw76enp4mg6gq37gxk	0.00	osmo1njty28rqtpw6n59sjj4esw76enp4mg6g7cwrhc	29,557,623.00	29,557,623.00
juno1krxwf5e308jmclyhfd9u92kp369l083w8fvrg5	0.00	osmo1krxwf5e308jmclyhfd9u92kp369l083wequge6	25,437,615.00	25,437,615.00
juno1aze45mu9nsh56zk8355khqnjr6r0tl9l02k0ej	2,709,340.66	osmo1aze45mu9nsh56zk8355khqnjr6r0tl9l3rxygu	112,389.00	2,821,729.66
juno1qanwkm62vetdgan6kpyq7n3kufrwce2suv483v	0.00	osmo1qanwkm62vetdgan6kpyq7n3kufrwce2sz99vqz	1,054,439.00	1,054,439.00
juno1crckdhfjpq4rn2prnf484fk7n239qtnmtj23y2	818,623.94	osmo1crckdhfjpq4rn2prnf484fk7n239qtnm4m664y	126,149.00	944,772.94
juno1j3p24vjzvdprntyf082us5g2h0rlzmyclgkahj	816,491.00	osmo1j3p24vjzvdprntyf082us5g2h0rlzmycppxkxu	6,281.00	822,772.00
juno1ad8evruzjjmgjc0w0520qx2l3yc73rjtafxmzu	817,509.00			817,509.00
juno13gvu4z3fne3kj5kfg3ynayexjf7wpt6kh95edc	700,000.00	osmo13gvu4z3fne3kj5kfg3ynayexjf7wpt6kfvyjuk	84,570.00	784,570.00
juno1qpg2942rlm5t98d95eeyhlnnezrtcpy6v3jdyd	557,895.38	osmo1qpg2942rlm5t98d95eeyhlnnezrtcpy6jczx4r	3,474.00	561,369.38
juno10jl2g4644qny765pqqj6fexfhhfcjm2a7cra74	420,690.00			420,690.00
juno1uym3mu9xsdvykvr320aefkp6vh78mgvaf2r4zz	67,582.39	osmo1uym3mu9xsdvykvr320aefkp6vh78mgvahrn7nv	326,802.00	394,384.39
juno1e9aqvyycwly33qyeeuequp4yggyhrzjztp06p7	340,123.40	osmo1e9aqvyycwly33qyeeuequp4yggyhrzjz4gl3ss	5,993.00	346,116.40
juno1k6udtfc90k8h04aqdp2e69udd52z80lp3c9ghg	184,261.33	osmo1k6udtfc90k8h04aqdp2e69udd52z80lp034rxx	107,541.00	291,802.33
juno1yen5f0ej9njg0d9pa8nn2hwjpqqm36zj38t860	288,786.00			288,786.00
