address, amount staked, GLTO
juno1wy9zgymglx4w7w9gju9043uurv3qyfp7mfuems, 50, XXX
juno10lsjtrjwyeq29daqczlumr25k7c0zpu5q4cv48, 80, XXX
juno1dnpuu3wwawwkr4vjpd7h4368l3ukzwygpy93cm, 51, XXX
juno1mtgku0rkw7stdc5tz7kv4kmhp3ycne6zr2m7sm, 52, XXX
juno1flx6nkvg7rk45lfmpxypwx8xq7y20galx2yg43, 51, XXX
juno104qv6ew9ealp88n05ga2ke29umuf8sv9wzxhy3, 52, XXX
juno13leh6cy9g6jl2t78jlcuw5j4q5r8hzjv3mynqp, 166, XXX
juno1439r33x7s6x9qng73hu7cyxs9l3rw6ex40a3rf, 51, XXX
juno1fzufmzdfujlwvfvk8wfxfxgsljsw6cnl6y5ly8, 100, XXX
juno1zttl5ud0klt90zlcp6kxwczncz7tvhl9ys9mqr, 51, XXX
juno1fftr507r2jnyh7784m2vzwgmt7pzkst5tlvjcr, 50, XXX
juno172fm5dvkkj0f90s6fjfqrtvq90wc22u8f860z5, 51, XXX
juno1alksfa6zvlhrdkzyy55qhkamj33ytcdupummjs, 60, XXX
juno14wc97l8zn5mkl825pgshqcy8749qaetddnvhvu, 51, XXX
juno12nmelh9psl0hnah3ssclqrgh6cup030su4k4xw, 50, XXX
juno1lv4ls9yd36exsluwajqc7va4f05ejrg00wxgtd, 50, XXX
juno1smknl4uf89ef84kg020ff7ask7l0sxz3r2a9y2, 51, XXX
juno1paeh4chy7z4qtqrg68k459ps5elkuyt2wxk39j, 63, XXX
juno1umgn2ytauy5kaxnyd84730rra3nuhl0jgefxw6, 55, XXX
juno1kez6nmnqcffjs66umnah9cl2hgnty0rymym5hd, 52, XXX
juno1vuafuq42sh7xgjw6y2500yjlm58m3jrjn0m8lt, 100, XXX
juno1ca3wau4xwhmlwlpa6v3ryz5zwp6k5cjwhtpe2f, 83, XXX
juno12dux7zlnj2lwws0qedxetxeude9tyqrpzpe5mz, 75, XXX
juno1rd00wj9lt6yfrkp5d3x37xqg6qjr4xzu6axpdm, 50, XXX
juno1y9x0q6fvp8uenpjas2g2jqzk0f22ptxr9zreqw, 178, XXX
juno14fp7zfehp25gr78ntn9uv7qmqgx74dklj0950e, 53, XXX
juno189psxs56n9xjlxrfn2cjv70dx0x64rgvmz9734, 52, XXX
juno1vp2mtfv6hpnauku5vchfhlkmvqwz529zqkgnh0, 102, XXX
juno1hqhqn4q058fndsw7nnd4kll08uex08lrkgj2z2, 70, XXX
juno1m8sxn5fnn74ftw2npw5d2fu4gxlha64t44n6tg, 51, XXX
juno1kwh8symn3xdh07kdnyq0g75xkw9r53que6n4rm, 51, XXX
juno10ua7zck0zsd4y2fz2yd5atdr4lycpjgkkprhqt, 51, XXX
juno13gvu4z3fne3kj5kfg3ynayexjf7wpt6kh95edc, 52, XXX
juno1434zluxmfj85vwpc3stk03wrcuzrqllc34chg3, 110, XXX
juno1le44m5k33mf5akamjak3ncndr532l66x7p3q3s, 54, XXX
juno1gz8vgplztfvewdf2kj6m3m4g0mulqlq289r7jt, 100, XXX
juno1ry6l63fmffstskm77jxqmq3guu4cmvvfuy2rmu, 60, XXX
juno194g8esmjuk624ydv6mmv6j0cgd9rnn69flksur, 50, XXX
juno1ur3nlec4l0a8rs32vmzpgd0yumk7wgtc2d9cya, 50, XXX
juno12prcf5tqxm7zssnals0g70hf7q6mtrefeq5xjz, 51, XXX
juno1cxyjsjj7qjkh9gearccn563hwujrqdewun5tme, 54, XXX
juno1m7fp3yd2r5h2u4uu02m6nstceranss8vv72j8g, 51, XXX
juno1l5wc57dhjham2qrugkp6rmruymjueuywhmyht6, 100, XXX
juno1708ljdlmke3x97a8f3pjr484vghd8lmjajv0pl, 82, XXX
juno1het5ulhuwssp9stmyslnmzx3y699cullxmflpk, 52, XXX
juno17wrswfqhkr37z7tyxczj4yvvf4q0fyaajutrls, 56, XXX
juno12q5uj3umm3apd40sz9t9m8n8djlazdf2k84zun, 51, XXX
juno1c9ar0nwje68w8al992wj9p35c0qxpjz64q8as0, 50, XXX
juno1lcvugx9utknply2kjpzcycna4prk2lyh022khk, 50, XXX
juno1mreaq69fm36ch7que5cje7zz49cpm3d8qsgtns, 400, XXX
juno1xqxxfs8ejvk8ud458lev52tnj7p4lujv8p8406, 50, XXX
juno15j36pvd6m8vm6la232ypnnq7uz2d5dqkallcdx, 55, XXX
juno107l5gjk74sw3vqqdanck9f6ndd5s3ljuwrmdpz, 68, XXX
juno1ng7xgpw7v0hlyg0jf9ylg0fejnccq3fkf8ttct, 54, XXX
juno1ud87wnrt5z59lcu5prhzt4swuk2s94t3hzv65m, 50, XXX
juno1lfrfpawyk6z6cgqcj5exnwrf3rr50uyhrvquh4, 53, XXX
juno1sr438n6mamuewyejdck4fvzv70tllfxc5c0ma7, 50, XXX
juno17y7ycm6kzmtlpyutqpsr9sg9x00dndezycs0n8, 54, XXX
juno1h7zxsjl0j8f8nxuu768ensq8tw7hgnhsw9rg6t, 50, XXX
juno17830e5p9dfwxjdw4lcl5eqky02envu0xpysn46, 50, XXX
juno1sgvgwf0cd47ft6qlue0u8jvd3sc6xmkpazptge, 50, XXX
