address, amount staked, GKEY
stars1zmk7hgf30vjkgla3p7wyjy88gtyjvp2u773qqz, 1062, XXX
stars1qttl5s2dvle54q4f9amy8wyyefep5mlzpku67c, 1020, XXX
stars1zalhqdjqye3d66r907e0290kw0xc4hnjh7sunc, 2000, XXX
stars1p0gg7nnenaasczrwsqejxvqcu84tlreu27mgm5, 1001, XXX
stars1nv0eerfkrws8zl6ree5c4xmcy0nltmuh7v5whz, 1053, XXX
stars1fcamvvfm3s6hvvnvkj8tkteacdyg3xceextyjj, 2500, XXX
stars1rnw2a5f0qknyxqkzg3etjuytz66ng56u2z7y3q, 1025, XXX
stars1nu7e7ld83grwm8ggduk00x52g5067fm7hxtt40, 1000, XXX
stars1t52m34acffywthhg5k06746xrm99zp0pqemyvs, 1009, XXX
stars1c8e3xpq38gfjg7shedsv28nhe74gm7ajnxf6zm, 1009, XXX
stars1yjs0a9fuzxlr4hnd7r7q2z03duur2lwwdp97re, 1001, XXX
stars1wted9uzpq2uxpjstw9lrmm2jqstv38yndnxpv2, 1001, XXX
stars12m5pvgdzssvl9ewgc74cggn9hdql0jt4lstn8x, 1004, XXX
stars1dlcqae8e60uylq5s6p4gh8mekzt98s6x7gn6yu, 1080, XXX
stars18cmrwge6e6n9sar63ltld5yvljq8ewfsmu8zmh, 1010, XXX
stars1nzyzfc7rmz9r6dg6wp7m5eum4wuz65zv06ca22, 1000, XXX
stars1ccyn9rd6j2gxd0rpuxpq76n9lzejshwa65nxa8, 1010, XXX
stars1je9h09ll9aqrh8345makhsnk7fa2n96er60ry8, 1000, XXX
stars15wny3ck5n92202c827n2cpuhv58nutgj7v7jxr, 1147, XXX
stars1wwas4jprv3e8k8y25vchh4780xhx47wrwfx9k6, 1176, XXX
stars1ps06kj3fsmc9ul2t99pfg98r5tu4j39qanpdny, 1000, XXX
stars1h9j29p7ycpuj8yc9gh8kf70vltcehhywmmn0j8, 1025, XXX
stars1q3dpka799kz96mnm56jygcqvqex8zd22tkeqll, 1100, XXX
stars1xx5rslmmtxxcyqqk0s5x9m5azxayfcvexrzncj, 2245, XXX
stars15ny8nhw2tsz58y9h8wjpmwjh0zu5phtk6rrnlx, 1000, XXX
stars1durjudm4fgynwqf4tfrakgfpyfj4cajtk3x5n2, 1176, XXX
stars1tfqlu5d7qhhe0yvtgd5l087hvemw7r6evt0qdh, 1000, XXX
stars1ul5503lrmfhetdlqwdq0dzx7ds4yee064cf3s5, 1000, XXX
stars1kr22pmwls4mkm5449cgtfw9qv6f9hq3t6pdrhq, 1000, XXX
stars1c8kje80k069u8czmzhlnjpj9nljw9ggydqwvve, 1246, XXX
stars15uz7r30jp4ftd3yzryuz3pcgxv8pc3wzk9wq0r, 1005, XXX
stars1ku0sckkzmsc9ld700yxawech0vyk9tr5vp7j77, 1010, XXX
stars1vnkamzcw3n5g70540nm3ejrr2gl3tn09c8n6g5, 2000, XXX
stars1ywr2thr2g8ray5marc4dd3j9w5plg7sq30qxtn, 1001, XXX
stars1xl76c72v0qyz6qhcehquypw6pytk32jeaeg0sy, 2100, XXX
stars1j3p24vjzvdprntyf082us5g2h0rlzmycaxzmml, 18468, XXX
stars15pcxw02hv0w6r72xl4fhnhs3mhnll94824s9ex, 1001, XXX
stars19xeucpasxg08jthuhktw3m82gcnz8myxnl2n29, 1045, XXX
stars1279zrl88kuzjz5u8huzmulky9e3akqwa90x4dv, 5020, XXX
stars1a8l3qtcq8x5k82du5ekmg0m2zw8ek9w3yrda40, 2005, XXX
stars1dqj78kdtmmfu457padwr0en4r77kephsv2paan, 1001, XXX
stars1rsyp9aypxa8tmgtc7rucqyssl6muf887we5yup, 1002, XXX
stars1h8cs4x9y8fzv92kj7sptcgfp2j08tl9863etv8, 1013, XXX
stars19p8wunnpxq3srpzy64l6er56nyr9qalw2fvcte, 1001, XXX
stars19s839fk4cyk784nsrduuzchywcz9t9kgr0ua7z, 1050, XXX
stars19ufpuv5jvesaxzqp8pdrdth4q3425zy9zhfx2r, 1001, XXX
stars1kas8xv3rzsvex0txn76mgqa6cm93k6l9ddxm0p, 1000, XXX
stars1k0aq3m7reynyeme3fh4fkx5y04q00h8cqses8v, 1001, XXX
stars1tytuzsk6ztxs00qls3554ut07t8j2kq44kv9w5, 1004, XXX
stars1g7kq60kk48nw6dxugv0pdn7ypk9cfyk2hgfhfp, 1035, XXX
stars18sdews8g2caqfcgq9wx483kvr7t6vcsemsa0cr, 1109, XXX
stars17zl64anzay9vzvyw5tzffgnnd42jjh29a922u2, 1000, XXX
stars1su5nvfg6tvw7y57myyuk4h5u9pr986qsglylt8, 1000, XXX
stars1j4z46u5hwmdqtjhkk57wl53ttar7u23dy8r200, 1000, XXX
stars1k7eh9ngcmwz5rq9cz0c9nwwwaagpfzfmsy6v3a, 1151, XXX
stars13ark8qhcsgsttqp4rp6sfzsc0zsk7s2jugx063, 1022, XXX
stars10vkqhhwu6cyp05kx0k2dfh3fyd562jggx80d77, 1085, XXX
stars16l6pz9cg4fa7nsfmjdj80n94gae7nqr9zj2sav, 1223, XXX
stars1cyu8ct822xqv2jr53h6s6wsakmn8u2sf7xau83, 2001, XXX
stars16ppny2tg39epm4seukrumyyaxlfrgr5dgfl74m, 1025, XXX
stars1ccfvra0ksy09d6wx559fnrd2msppgdce9mgar8, 1000, XXX
stars1jy8c3ea4mnshvscz8dcms4x8ejxruhyrradjx6, 1034, XXX
stars1wcj02245uwe3xpn4sj9h5mnavmj0wlmjeny05k, 1000, XXX
stars1ud98uyqrs6yu5xu2m44skmc9dp5pwaxslxhyyz, 1039, XXX
stars1s46jmv3c05usk6yk50tyy8axc4t9rglrvdky2u, 1000, XXX
stars1w6dpa2l2fc3v2rc9dpuhqg4lt6ykvlqg5np6ps, 1500, XXX
stars1vghc0rcgh85fhftyh3vtqfz26ukjvk405qt6cs, 1000, XXX
stars10avnjpeqs5zj0wa39lc5386usl72n06lqan35d, 1000, XXX
stars17fvj54vszd55sxgccu942ckpkdv3vxwf4mdu5e, 1000, XXX
stars103hn5wdhau9ly968z7n3a9360v7gw9v90pcauv, 1020, XXX
stars14cqc6vaxv7nl225vgfd8mvdpx2v0vcjrsdeyup, 1500, XXX
stars1adr72atmnzzvqlfe574c3qk5s9zxk0l2gq2rz5, 1001, XXX
stars1nmh039s4fnd29ahfhg077l52cmkw3mjurr6dm2, 1010, XXX
stars1rrk0hgawmg5lzlkf948f395ksqmhr8676xrhta, 1001, XXX
stars1md0twsn4e27lt8eyam0qklgrm5wwgtv7edqv5g, 1054, XXX
stars1v5s42qmh7zy8l0y3nnnf76kfkltfsvr7hqjsvm, 17351, XXX
stars1fjgx6q399ecf0fzyxtufq0g2rv6da277jgjxf3, 1060, XXX
stars1rt0x7matmh4z37v44st30l3428w2lsgd9gkx6x, 1000, XXX
stars1v3truxzuz0j7896tumz77unla4sltqlg4ahg5z, 1052, XXX
stars16axd0zzvxehnn4cfhdw0n3uqjfuegd307r4n47, 1001, XXX
stars146lqaaa66l2l9ch0rjm7z380jlg4na9ug0ck3j, 1023, XXX
