height: NOT_FOUND
address, amount staked, GKEY
kujira1eqz3ucr5z73gjqn5hs3xadr4x7v5t6juv39zx3, 100, XXX
kujira1fl0we9jrg7860hapcq97ndrxf8zskdxawax376, 153, XXX
kujira1nng8n3ax404t78ms4cjhltfwckw7kuw3qw04c2, 136, XXX
kujira16tcc29zfg0t5vpfvzqzm2uykt7ayzzpsys0t0e, 522, XXX
kujira1pcsaq68d70ycvdxxv3tdl6uvamhkg9nv90vg0t, 100, XXX
kujira1ad8evruzjjmgjc0w0520qx2l3yc73rjt6n8cg2, 578, XXX
kujira16q9tcfak9d5tkqxvlkj9prcq3hwazkvc6dxedv, 101, XXX
kujira1k2yj3fu937xjq9w539e9ahmp9sv7ltyxm4w30u, 210, XXX
kujira1lslfzngda2y0y33vvmyhaxmr030evys0l9wh39, 103, XXX
kujira15y2jy3uatqlavdmjkfr779dydgjqk43a5arkt4, 100, XXX
kujira1kvg8medh838ec94gxdkf6ckedx77l8ftfhyuj3, 100, XXX
kujira1g72q9dl7yqcl3lv3jqkrrrw8zayaan6hce7prn, 101, XXX
kujira1l72ayh6xpge306s6jwr6l5dflrj35kfk99cgzt, 437, XXX
kujira1rrsx726cez9v0f2q8kgajzd0s4z7w0827wuftx, 812, XXX
kujira1t8urf6gcp2a9f5ua3grdrgva9ayravfcvgtgx6, 100, XXX
kujira190uhw92ecjglxdja0u9q4k3rhctazj40hqu0kl, 236, XXX
kujira1jx03zpuvulr30sqvnvt7c8r5j9ktcxzp0tnswc, 101, XXX
kujira1v5740e4eseyy2ssp0vc44nrr202e7pg6tjnue3, 102, XXX
kujira1h73qxxw84x8tumyxv4v4qealrc3pf6zgy2d08j, 102, XXX
kujira1amlrs57zsfe8gngvp22jah5w6uhxx4urjse422, 105, XXX
kujira1epc33f02a5jadc2g7h0h0axcka6vgawkzrpuus, 100, XXX
kujira1tnyrxmdk6jtw8vqsq74z8t8y562mgcf7qahj2l, 100, XXX
kujira1d7sw0t3nyajddyjtvwargqkypqx0yumdch45f3, 104, XXX
kujira1gejq6pw5xceuun75hhcke3kdwqekmj4vtgnczs, 215, XXX
kujira1w4f9kv7zkhkklz3n7t9w2zz82cd5wuu9kptqpl, 110, XXX
kujira1txuk4jv85e9pefypeee02x3ulckkeqlfhuhe7j, 102, XXX
kujira1fee763uud0tt4mgearx7xayedqy4terc7kpuh6, 100, XXX
kujira1n93esxf3her0vszqzyskq5lp763qhs3d5v6pus, 100, XXX
kujira16ffhf4evaep33qm8g5ykn2eutyfzdjax25lse9, 163, XXX
kujira1c8ytgnfppn8z8672vtyc2pxv5u5d9vsw8e38l9, 100, XXX
kujira1hu3egvrckvf3l3c0rs2lcs6ec4js4gsn92969q, 234, XXX
kujira1p3ulywc9ckcdyjyp03ex4gptasxg003d8hkn7t, 100, XXX
kujira1aq5yv8pqghxtpwngmfwy33wpudkjz5vvjd2c44, 342, XXX
kujira1up7p4uhgzfzrk6fnqjes0wty9rv7q0yx9x0kgd, 101, XXX
kujira1keyf5w20uwzua3f44ekues05ru2zpjj23dxf8u, 197, XXX
kujira12jepd66e87n4gfw38azwv3zcfekejgcsuu9hrq, 204, XXX
kujira1k5q9375sac9hqg745jm0qn4xfdm8dkfd3lz8cl, 101, XXX
kujira138jwyq9ftn5arn5cy6k0tw4tdju7mjhsrr9cqj, 102, XXX
kujira17wdgq3g3xxe0fflnwuymgkph2vuhyq6tvys67x, 100, XXX
kujira1edz0jjwle27syxwr90y9vn40tt2g8wxa5jk3l3, 106, XXX
kujira1u6hlqlwg6pyc32e62nt43h3xgyn5955jey94pg, 167, XXX
kujira14u5j6qcae08sgtf5n7pv9xayzjw2ashew9jffp, 1103, XXX
kujira1rgrda50pc3xuj9sn5uqppr0v0ec84dl9ervcg8, 101, XXX
kujira1tdlcev8329gnllv7n60fxsm55jmxeta53dm8du, 100, XXX
kujira1m6rn7kghpkd72u6wtudjzqmzzgpzdvjp7wv0q6, 101, XXX
kujira1p8sxus9tn3gnt90sdnw5d6xtmxvl4um3l5yn8t, 499, XXX
kujira1lfnhfumkghshexewar7kvmc7ff63sz0j9j20wn, 100, XXX
kujira1atvzzzac5n676jtxn7046x4cahhtmfvfnv7r5j, 113, XXX
kujira1lxgnd5mgqc3a232t7hzxyvrqhfgczuguj75964, 195, XXX
kujira1c5gurl2vqae3v5t25aswnh0x66xkp994zmy3vc, 175, XXX
kujira1uym3mu9xsdvykvr320aefkp6vh78mgvawszkg5, 174, XXX
kujira1ac94c38y96mjypkryns9uyxpegaqt0xq2gxu32, 627, XXX
kujira1ngxws7utj9v2ah5pgz92um4mc06wu88lug2vxp, 111, XXX
kujira14twa40uu8sskuyw9d8gg4mluk9s8lyjwfmedx6, 199, XXX
kujira1628nq7a4e94gw9xcczvc3mzyg7vqw4vs9uehnq, 109, XXX
kujira12lzvcacrthkmx33dkxfce9pffnuazz5edralfy, 111, XXX
kujira1xpjg827ngjzcncygel8y553f6f5mln48ujrtp9, 104, XXX
kujira1ens8hvwve26lesh3cp4ntapmefs4kk7gurk8vq, 100, XXX
kujira1jlkrfnfxhmrytjhhjv6c02d54gkprwkm8vd00t, 199, XXX
kujira17l8jpfvnjkurzes9hw8k5ql2hly2kh7pkfmyht, 100, XXX
kujira1vzxt2akmr76ddg7epxklnwmdjz5m04l3da5dkc, 102, XXX
kujira1a83n4zhsyf7w52xrsjajp5ta0rng3tgkzf7z0k, 100, XXX
kujira19d4us4r5hs53xqwnlk8ay9ksq900apzgc22zn7, 104, XXX
kujira1ns5ehf9khxg7yhe936hp7450p46hl0t0y9lxzz, 203, XXX
kujira1l2n025a64a54urscdh8v09z8mg9uhuud3qz2rv, 424, XXX
kujira1d5ukx4wgp25p8rvfkceuf4dv03r2nnl83n4lev, 101, XXX
kujira1v7w4fs3eq63vfn5xqqh04pzuesj44u9epdplc7, 265, XXX
kujira1ruq7gddxjz7k2dv77xwr63vjw74zgkfdtj5s8e, 108, XXX
kujira1y7v7rvmehpy0n4wrg0r6e078yz56ykrrgwpkxv, 109, XXX
