address, amount staked, GKEY
chihuahua1dxy5vd2xe3s48hlwrpy9xeepqzn3jg9hxqtkfh, 1154021, XXX
chihuahua1l5wc57dhjham2qrugkp6rmruymjueuywzu2zdy, 934820, XXX
chihuahua1qdm6all9tpwld7nkpqdxrvv7d53wsf0j9py8xg, 1307075, XXX
chihuahua1ljd6d8quzfn4zev99unxnz5x89frev3vup780t, 1137220, XXX
chihuahua19rr80ncg0phfz99mnmfuynw8f98gmq26ua7xvp, 514700, XXX
chihuahua13u5f3c2a02qe3fy8g2wmjyzg93nkkejv4cs6mu, 550590, XXX
chihuahua1xpjenqlc2x8e67c9zcjp2cqskxwdzm99w9m8tg, 7170000, XXX
chihuahua1u926jqsax56rcykmcv8z06c40kzdvjkgxaducx, 1307096, XXX
chihuahua1pcg5dr6lypu98lwpkypyredqpar7uj6wln6ze3, 3275078, XXX
chihuahua1q3dpka799kz96mnm56jygcqvqex8zd22ulrn4v, 528158, XXX
chihuahua1rnw2a5f0qknyxqkzg3etjuytz66ng56uatyhmn, 1306844, XXX
chihuahua1ynf89385cylrzyg399sftk05e9nak6zkmntnqx, 1306730, XXX
chihuahua17w3t7qjhf2guk5d369hfg94pwe5axt946umg3l, 1308058, XXX
chihuahua1fl3xxsd9ljtkm7vx8xqgwha5lpaj6znprn27z4, 1306694, XXX
chihuahua14fketv99hlrlk80mkggw643spsj3yyf7qylvqn, 11200000, XXX
chihuahua1p3ulywc9ckcdyjyp03ex4gptasxg003d42e9jr, 500002, XXX
chihuahua1mjf9e040f6awj6eznwgtzpaa4l57yt7hnexfex, 625000, XXX
chihuahua1vz2fcvuarywcp7cej7rx3pt8v5gaz5r9pttp6s, 642418, XXX
chihuahua1fx26m6xrjmus2af0y33vpvngml22k50jwrvrwk, 1306644, XXX
chihuahua1err5c2tc8ha6qa42tpvedgk585dpj355fnfhqk, 501000, XXX
chihuahua132dwnd8j2aegsygfpn90g22pyvqnqnngg3nflg, 1306729, XXX
chihuahua122mtmddm6tr9q4jtswm8j57ujyl3n7l6ls5u72, 1306670, XXX
chihuahua163aku3mx58uzqmy3g3723sl36sc5890x7gktgg, 1308183, XXX
chihuahua1l4v88qrprva0sjzl862wa0tcas04ddqu6zusy0, 545423, XXX
chihuahua1lpzshjg8cn8mercts03fka5vfrwzz4ave5p353, 1307436, XXX
chihuahua1gmhzke988e24gqrx3vmnq50eaaadrat96wfqyt, 1306628, XXX
chihuahua1wu8j33ssujxrl0c2ax5dan4dv5h5h9kxp54h66, 2593975, XXX
chihuahua150lh086nkz64a0hz0mdqyj4stcgvylszp7khmv, 1306851, XXX
chihuahua13m7eqx55zldnu72vyal828vzrypz2chvddgylw, 559063, XXX
chihuahua1ghaamd2fv2zq95fa4hk000pfrqftzme0zfcezk, 1306732, XXX
chihuahua1shmytvj3rsmyyajwyx6s08wclvsg3mly537ty9, 2169695, XXX
chihuahua1nxeajyyhs7avsd89c4jh39hvragdkys2k25699, 1306943, XXX
chihuahua1hsveqcu47fhay5y9u4ld7agqrlxfvm3pcj4uxy, 619271, XXX
