address, amount staked, GKEY
jkl1hheryepdqyamzy4vsh7alcjlwq5k0kfma7flhz, 250, XXX
jkl14f9zxvv0aclrej4u77z8nsyjd9qc49wqslqdrg, 1000, XXX
jkl1amzdxmwa9f8y5zus7k4ycz3ffqrwhdzlnxq07h, 111, XXX
jkl1p3ulywc9ckcdyjyp03ex4gptasxg003d0p6627, 50, XXX
jkl1nur6ra4vs8awc7u9w2sm346mzxan74wjwl9efj, 10000, XXX
jkl1n6xsx2f0ra2e7t7j0xz6k8cwa55k6p0yd2qzyc, 61, XXX
jkl1d7sw0t3nyajddyjtvwargqkypqx0yumdspeaay, 81, XXX
jkl1n8j9xve22sh5arf2kfdtdde46udztadaw77lh8, 130, XXX
jkl1c5g8xw3dfcxypw65j7aa4j29hetr4wy4aszrl7, 657, XXX
jkl1eqz3ucr5z73gjqn5hs3xadr4x7v5t6juy8ftjy, 63, XXX
jkl13u5f3c2a02qe3fy8g2wmjyzg93nkkejv0nn9rp, 61, XXX
jkl1mcrnf2n2vmmut5j7upluehstxh4yenztwrykwa, 60, XXX
jkl1ry7pu7ufhfzjdd7ac642lk2l44yqctyqruu4qg, 5019, XXX
jkl1xspr9c0e032zr8j4er79fw3vm85exsg24egvgz, 1232, XXX
jkl1gac5q72ef24z49pfmvwq25pjjaujq6zx7syau8, 64, XXX
jkl1wlureh2j6exueae8hlp5v67uedjvesjr5aj7p8, 64, XXX
jkl1j5xrxdvrmtlsd6cyhp739w33esk63rqrzyg4j5, 60, XXX
jkl19rr80ncg0phfz99mnmfuynw8f98gmq26xkae5u, 67, XXX
jkl1pvcn0jjv2mugdevlue9vj2ks7ryjgtccgxqwad, 50, XXX
jkl1f4j6vh3qrflhr3x4p003e7gngcy2wufelyyn3q, 95, XXX
jkl1g0qgw7ffwh57a39s4j03h4ztv749mlnccaumw5, 50, XXX
jkl12lzvcacrthkmx33dkxfce9pffnuazz5e943ka3, 62, XXX
jkl1sy064tsnqjze69u87m0sa9e0t50rrys6a60df3, 53, XXX
jkl143ktrx6d34lq0jvtpav6ne4cyajwgg79a4q4km, 20000, XXX
jkl16geca5fre95zgc9gj9rc2tp5yk3983qusys0mp, 61, XXX
jkl1ynjv4l0vw6dvzcel4kqply5637jacfrdgr73qs, 81, XXX
jkl1c2t5zvhu6a9esnwg2vvz859qrd66vx4n0dehg7, 58, XXX
jkl1a2q46umuaevjtrtky3smjs8hgn5qq39wspdqh4, 1667, XXX
jkl18vuwxtj6l8w8hu7ex0n2gxuf0zp244c0f2xt82, 50, XXX
jkl14reyuy6z2e6mzyrzcjmtfhrn5mrzcc4t0pdw57, 1606, XXX
jkl1ucj4xmmq3ykgkw2halpf24h5n2awsu2twark8p, 628, XXX
jkl1v5740e4eseyy2ssp0vc44nrr202e7pg6ryl4dy, 64, XXX
jkl1nu5jfcwjcwaqxea9m56w2gwnyaugenylwzawrp, 52, XXX
jkl1af3c0n54a54waxa0ul0hkhnhgmqwx7jqzk802j, 50, XXX
jkl18nl28k25u5qtwga7qzgd03ee8nqfzqypfgaprm, 131, XXX
jkl1rrwm55cvyll4pd4jrhe28v8t27uqkkd2qledfa, 58, XXX
jkl1jsmx86scps2zq55xvtwm95jxrv40sf560hymmt, 85000, XXX
jkl1xgghymtpu25m45l4s4d4vd894f73fr9xpcck8d, 50, XXX
jkl16facdx50eramsgdkd2h8eywjqyllmp6qfqsngs, 1137, XXX
jkl1vrml8rkxcstrneqv208wmd9f3yd5uwkwfzgu8s, 90, XXX
jkl1akkdutqp92ae9njq3j6v7nzdge3au4ldqp4s6c, 53, XXX
jkl1854e3eu4waae4d027epudlpxhtzhg0dlfkkvu3, 58, XXX
jkl18xxj9y8l42ad8vxpu0pq3gpwq8nj98zp9mt2ew, 95, XXX
jkl178n8r8wmkjy2e3ark3c2dhp4jma0r6zwq3cyz4, 63, XXX
jkl1j7fgj7v9nqjg6wfda9paldcxezd8yv4q8an034, 3225, XXX
jkl1vqzn2kzjnhvn02x0xc5n3z2wwaw766as4t07wa, 55, XXX
jkl18smcd7hmzj4pt04vmt693u6lcvtxr44e9rmg0d, 60, XXX
jkl13m05m0p0hnk3sta99a402v0tlcqwm34xz4nyx7, 50, XXX
jkl10g3hzsme335q8r2g3p4y3x7s2pv587fw2yx3en, 61, XXX
jkl18wy4l690my83js0xxjhxjax43e9ct2n6leezk0, 58, XXX
jkl1vcs68xf2tnqes5tg0khr0vyevm40ff6zz2splh, 65, XXX
jkl1err5c2tc8ha6qa42tpvedgk585dpj355nc2gct, 58, XXX
jkl1g72q9dl7yqcl3lv3jqkrrrw8zayaan6hs0jghx, 51, XXX
jkl14er7ec5dz894gk0wk6uplyqd6lum3nr9ul4gsx, 51, XXX
jkl1c7xmkw9rpj3y0tfue2m9neqjcvwkfe272hlj5f, 3233, XXX
jkl1j7khdzv4xq89tdxd32h0xwun5jmmx9f6lgjmmm, 63, XXX
jkl1q08n0593ptd7y2q6ntyhptxzgfgg6uw3cstj8w, 51, XXX
jkl1uxzrzuz2cs52czymqxnhtact9xepcfzcparhx0, 51, XXX
jkl1nnhlu7j6r4e2efuaydyvdmqs5plp963ez4z4et, 64, XXX
jkl1rlsdrt7m2aat7cvjvks00n5srq5khllqxrl7lz, 1456, XXX
jkl1vzxt2akmr76ddg7epxklnwmdjz5m04l39tcyzd, 290, XXX
jkl12pc8dyq4a5td8xhtg33pau4830rg8dm4wuah6f, 50, XXX
jkl17tnamkdh7gwkz85kxn6t49xtejlj7kt26qqewd, 50, XXX
