address, amount staked, GKEY
juno1x68h9mgxsnzq9ewfyp43e7shg3xmkl4vwqepmy, 51, XXX
juno1rfd08kn78a8eyplg248y77pz9ppf3rrsdljltj, 52, XXX
juno1c7qhmdnxq45m67pcaj7ymzzgcxveg3gqs9ntt2, 50, XXX
juno1hzw3rrsrcujh30qzyy0ag4mqdh26pll5jfslk8, 50, XXX
juno19p595przv0na8ff8pzssw5fmgkmnef9st820t3, 50, XXX
juno1gwx6zqk55z2llrxjez9zg78593hz4c7pg3g5aq, 50, XXX
juno16qwjsddyrv8lw8xuyamhdgcyn9qrrmjh4sflk7, 50, XXX
juno18n0j6vw9gp3r40wrewk48mwyrrm4tjl3pf4e93, 51, XXX
juno1nmjsarrzk3d39y6xltadmq4c20pq0jw6tqgt0f, 53, XXX
juno1vjeppfyf9vgv3psj9ktmwvs77wyfcvmrmr6vg7, 53, XXX
juno1zgaj2w950llsludydz5xmcp609uk02ys8c77m6, 99, XXX
juno1s3x0q84xc2pvadwpxksdtcft3y3ae5zt5fuptp, 53, XXX
juno1t4g0tg8s8nysfcsjcg4v8nx6mk3ca322wk8w4v, 200, XXX
juno1vs5n793wc3rr4gm3vn8jct9c8cefravelw58f2, 50, XXX
juno1skwgzgtt4t8ncpnflsgdh702wcu2hq4082d0nx, 59, XXX
juno19gqzgxe99gq6du2va5p0ahszklrumpkf2vjgpy, 120, XXX
juno1v7qt4dlz605nmgm7nlwtj88cewt97djqpvpymt, 100, XXX
juno1fd7dsk7kqfkj7ttdsp7hnctq060sh0yhp33wx2, 50, XXX
juno1zgdgxc99vkt0q0dnznnruyce2exg448nqjzcxp, 52, XXX
juno1retz0scvhmpar90jaewg5ln0pxemqtjnurr92x, 55, XXX
juno124w26nuf4hxe0u8ywk8rfxsl9vn6cgef80tsnz, 50, XXX
juno1sutlskmpmyfszuqumam7qph06j6vuyhx94gz7a, 50, XXX
juno12lxdlysexsvkdhu923272c4nkqkswp7j8867we, 50, XXX
juno17u2slvv86t2wchg225n0wrd0df8jdze7jqzqw7, 50, XXX
juno138csawfqhg69msph3jarkfc6m4w0exu6mfaqhz, 70, XXX
juno1yzrurgrlqhs60f6amdntrv8rd0hq8rvg0eqemr, 56, XXX
juno1rm5qxlr352yhz3v4pj5urehtlgs7frnl5f70jd, 50, XXX
juno1r6dg4f8ch4ah9shk0x2cq3rxujtlt0yfnnhwhv, 56, XXX
juno1fu2y5077zrl2s9sef2v4d8wg9ppvmhrjl0l9pa, 106, XXX
