address, amount staked, GKEY
kujira19gcza5dmm9dsrm8qquts5vhfhm3y2c7yz8z2lq, 100, XXX
kujira1uz07k6e0txmv3agfczp4yqm7zsl32fkwj6u5v5, 101, XXX
kujira1s9e5f49ynl664ny45cuckyhyvcx5hyaj555gef, 105, XXX
kujira1ue5e5v2wsmkxr87hzlp2h3zkz4fh7cvjakz5dz, 100, XXX
kujira1lfnhfumkghshexewar7kvmc7ff63sz0j9j20wn, 101, XXX
kujira1p8sxus9tn3gnt90sdnw5d6xtmxvl4um3l5yn8t, 500, XXX
kujira1rrhuws8zepv05dyc3la7wxsj56khqzpf6ce7z7, 104, XXX
kujira10m6qtxq0dne3hl8v482mtkmept3t8558aqyhqa, 100, XXX
kujira1ucj4xmmq3ykgkw2halpf24h5n2awsu2txt0ln5, 114, XXX
kujira18ucesam4gdvuu37a5vhgwjnqzl5dfvd73hm938, 101, XXX
kujira14jxz7vdsx4r4zgc7jc23lfvna6y9rmezwlpexn, 102, XXX
kujira1nlvm2gudupe3u4fcgav4w6a7mhrsdjxnvnkmsw, 382, XXX
kujira1fj3h3c5ncu6qphm3an6y92ulre2eg27u340ngj, 101, XXX
kujira195z08s2qj0em8pzyyaqm5l29p0w9vrde4v0skn, 100, XXX
kujira1uym3mu9xsdvykvr320aefkp6vh78mgvawszkg5, 114, XXX
kujira1je9h09ll9aqrh8345makhsnk7fa2n96exw6xzu, 100, XXX
kujira17rf9cg5l4hxrenwamqserttfm6z2well4fz32w, 100, XXX
kujira1ce3uxwdn86anrwzq89t4ugvrtzu0a53cgwmhze, 100, XXX
kujira10u8c8kemnmp6smxqak40dhsf2z3uuyrarazcam, 100, XXX
kujira1c3vjrtuut50fqk4vgu28mt6zkpy05d8959thkv, 100, XXX
kujira1q0k3zstemzx0k5x7v7jz8zwcu7qqyzys627g87, 100, XXX
kujira1c8ytgnfppn8z8672vtyc2pxv5u5d9vsw8e38l9, 101, XXX
kujira1uu7sv5kw9jx970jqyrh2rfsg7wr7kxzpultve2, 100, XXX
kujira169se4awcc40mgfwnxt6k0rjkgzv9m9y0uqs3k7, 101, XXX
kujira1avvm2e3tq9dk0s68fzjqmfg42tp6l7zng0w6gd, 101, XXX
kujira1t7g39k46vtlwtjr8uw2r9tsjdhqksw2e9pvc72, 100, XXX
kujira1shmytvj3rsmyyajwyx6s08wclvsg3mlyxv3agd, 143, XXX
kujira1qwted69szn32huygszhdme7yqs5a3jafkpfwrx, 102, XXX
kujira1403d0y06vm5xtz86cxsx87d7tgxggeya58yghe, 120, XXX
kujira1cpvejnv6ekwjjaqpde2uzd4y0xnpm3u4znth84, 100, XXX
kujira173q959a24s5lcmcdxw863ytxkyue4m7mcatkcq, 130, XXX
kujira1ygvm6wdxv4zgpkhurqaddlvtwherryvm34y6dz, 100, XXX
kujira1let0chav99tpgt0fmecpjc9qhqztu7xyrq55cx, 109, XXX
kujira1eqhexdtptfsgyz0m9efg8s8v5vcmsknxfhvkuy, 101, XXX
kujira1vzxt2akmr76ddg7epxklnwmdjz5m04l3da5dkc, 103, XXX
kujira1xkf9vy536ct23pg9aumsrg58x2kw9y24xfhuk9, 401, XXX
kujira1kvg8medh838ec94gxdkf6ckedx77l8ftfhyuj3, 101, XXX
kujira18tmkvruqsz3xjwzsh94yjr2jrnl8v7scutd0zk, 100, XXX
kujira16n6klgn79dvey5mc5k73tvtm9nn58r779ralhl, 101, XXX
kujira1gtqlqh9ajc386k9deftddj5k5703hlfpr8hyqc, 200, XXX
kujira107n5mm03l4h6vzvxl5a8c0ly5gucekhtp9qyz5, 104, XXX
kujira1j24l07l9kjnzucgj20wjwxpq6xdumywv7s69td, 100, XXX
kujira17070wwjhlurczgm9658k7p9a8ds08shjj7c03j, 110, XXX
kujira1p3ulywc9ckcdyjyp03ex4gptasxg003d8hkn7t, 100, XXX
kujira17zjhp24g69gxvd8fhr76tmy70lapuy4pgznhrg, 101, XXX
kujira1wmn29ec7dzldyr2uvh42v0ykld4hkjt8zsrxfh, 100, XXX
kujira17l8jpfvnjkurzes9hw8k5ql2hly2kh7pkfmyht, 100, XXX
kujira178swfpjp3qwes3wj8ffzqla9m56ewzxmk9ydaw, 142, XXX
