address, amount staked, GKEY
cosmos1shmytvj3rsmyyajwyx6s08wclvsg3mlyhyn998, 35, XXX
cosmos1m8xan288hp9mj06g323s5yfg3qnr3d5pc89mzl, 35, XXX
cosmos1h6glj7egzj97nkpazn2j9hcey6lyxnmtk9cfmy, 35, XXX
cosmos1km3gqz2vzw075qjdwamq5xdlsyaqatx6akrk3d, 35, XXX
cosmos1cnzcqss00dv09kpwqmuxkqssevr7u77j6tpxd2, 43, XXX
cosmos1pvcn0jjv2mugdevlue9vj2ks7ryjgtcc3cwlyj, 35, XXX
cosmos1gzy0f2ggfjk6mrlv96nlur6awqdm2hd5lzle5f, 40, XXX
cosmos18sz50u30vfpf7lzdax3grekyn6snq0uczakkdu, 51, XXX
cosmos1nvn4sfc3r2d69c7v0j9v7ak87xepz9q5dxfv7a, 35, XXX
cosmos1t2t8uc9cktykl9hq39ue40pjhjx99qc4c2mgqt, 101, XXX
cosmos15y2jy3uatqlavdmjkfr779dydgjqk43a94pwxl, 35, XXX
cosmos13h5rflg27nn99emf7ecapjf6wr67mgqc7n4ztd, 52, XXX
cosmos193f29pj2n8zypqxnqryepakue5s0s4h3e3ju7j, 35, XXX
cosmos1pcsaq68d70ycvdxxv3tdl6uvamhkg9nv58wszp, 35, XXX
cosmos12lxdlysexsvkdhu923272c4nkqkswp7j34e9f9, 35, XXX
cosmos1rz6ackm5p23evrw90el8j5376m625hdmal8dvm, 38, XXX
cosmos1paeh4chy7z4qtqrg68k459ps5elkuyt2c542zw, 36, XXX
cosmos1v7w4fs3eq63vfn5xqqh04pzuesj44u9es9r845, 35, XXX
cosmos1w6dpa2l2fc3v2rc9dpuhqg4lt6ykvlqgq0k82p, 35, XXX
cosmos1tdry23dspgsmp55zywtjgw0f57neevvw8z3y7w, 100, XXX
cosmos1rl5wj8ldwn2n95ancxkhhqfsmmtw8ew354n9fe, 35, XXX
cosmos1um6ue40f5y737lmzymrn4mj5v5nrzventjkpc4, 35, XXX
cosmos12lzvcacrthkmx33dkxfce9pffnuazz5eutl8yw, 41, XXX
cosmos1pda2urszcgqhyqfx63zqkrehj266rzla8xht5x, 35, XXX
cosmos1yadcdtkwk9j0a6gskm6h2pvnlx9qjfuk530mth, 36, XXX
cosmos1nkwwh4t3xxzhp97ezjj9h3tyh4x93atpl30uzc, 35, XXX
cosmos13m7eqx55zldnu72vyal828vzrypz2chvwc927v, 35, XXX
cosmos1uym3mu9xsdvykvr320aefkp6vh78mgvalcqw97, 130, XXX
cosmos1urnnuxaxzxhxry5c3xnjaspg0f8mnfkh6e8k4p, 101, XXX
cosmos1qt52wrdj0gs5fmsefl5valkw4grtcrcat3lp0u, 35, XXX
cosmos16e32x4jzdqkjle4vetvx0pyjs6vpaaut6g9sya, 35, XXX
cosmos12wg9xsnk3rw2c6a9tymccj5w42nmtuh7ert7u9, 35, XXX
cosmos1m806kg5093nqhuxnfkjpu7v7g7pcr7yaulrpn8, 100, XXX
cosmos12ahme2h3xzhtjtmuwy66eyztky8snd08y9pwjs, 35, XXX
cosmos1j3p24vjzvdprntyf082us5g2h0rlzmycf64xsw, 35, XXX
cosmos1ens8hvwve26lesh3cp4ntapmefs4kk7gdt5lp2, 56, XXX
cosmos1eqz3ucr5z73gjqn5hs3xadr4x7v5t6juae86tm, 35, XXX
cosmos1xusmwr85xvl7vezpmv8gsm97svyfzczfe4ac3z, 40, XXX
cosmos1pv8u5y23yq6kvqr4rdxx9hgcqz0dkrgv0m9xrk, 43, XXX
cosmos17q8gmyeladh7ckfghmlx72mundemz44awj8p2m, 36, XXX
cosmos1zn0yj537t85jffvrhnpl2w480rdeuurcpjhnnx, 35, XXX
cosmos1s7k62zu8newvalp0u9a9x8mnn4yanz8n69jq3z, 272, XXX
cosmos1tnyrxmdk6jtw8vqsq74z8t8y562mgcf7344284, 100, XXX
cosmos13gccl8hlxpkwsp2gc57q3kr9jhr8hz6duqavve, 110, XXX
