address, amount staked, GKEY
evmos13f3t3u5tc60c49afkra9dnqvjysznjxn53k3fg, 250, XXX
evmos1wv39jnhzlx4l2lafzg69ygy8fdge75nkglqnf5, 78, XXX
evmos13dh9wgwlgtd5k55yx9fc50vdvkdte7eeg2488y, 82, XXX
evmos1qf4p6jq2fqy09g0v0n0gfpnyl0cv22ft3f826x, 100, XXX
evmos1vpe7x4x0j2z8f0ekq36hzttxz5pxww0nzhd3xv, 121, XXX
evmos1ewldju4xcm2wqxgav8l809lv46hrseldvzv68d, 500, XXX
evmos1mc0apnqtcmlg0msrmjmu285fwljlynak5nz22y, 384, XXX
evmos14w5snqdu0js05phq3glnxh6wpk3um7s7scdq86, 113, XXX
evmos1snkt8d95tde0pcdjyqy0jt8srtrh3vft9d82dq, 113, XXX
evmos137xx0xt8ps662cee50gcdng826mhwht6agfyql, 70, XXX
evmos1wk3vp0rvehch2mu3njq7jwyl40xacdu9ukxa03, 72, XXX
evmos1zlqvd8e3lmt09sv4qpl7vzs3ljkd655cqm64yx, 100, XXX
evmos1yz3v8hm6muz5f9948r39tr95uzfzulc5unah8z, 277, XXX
evmos13tvf08ecvlzpew4x349qmlkqvutl2mqldzwedj, 495, XXX
evmos1n7dwfqndg9hjws92p02v35z65vaded8us8772q, 70, XXX
evmos14ptm7r3r4rnzd7yjp5lwxysjtpg7slnhw0wcsj, 200, XXX
evmos17x9a96gq3a9qfs8cnxj3la2h6p603jl82x4cdt, 75, XXX
evmos1pkkaz9sxs7ay0mf7f6nwf23xn9kxpx9emq04na, 100, XXX
evmos1gdvrjnvtxeh2zx3jhxxawql0ml8u8j4un0npps, 159, XXX
evmos1kkxfdm7lfewaetkvr5ngxcsfnn4kcfpf77eudu, 135, XXX
evmos1gzkdt5633t8kzc9s8xznqm8q8vxx7zxjex45dy, 90, XXX
evmos10jzww6ws9djfuhpnq8exhzf6um039fcwxdr3vn, 300, XXX
evmos1ym8dsxhprqc3r6zu8ds8wkdj75z97dh9k6xgrc, 83, XXX
evmos1k00kf35z0lff9n8eatg6vnmvchhn0375pfqmz2, 200, XXX
evmos172jwpsyg9jmxjskscp3aclfr9nugfq3k6xhcz0, 69, XXX
evmos1adn9n7gev2mv88amd47magmu36ftm00p0kl3rw, 86, XXX
evmos1x5k0dajj8d58ps38ys4vh78247d9k5ztj5gzf4, 113, XXX
evmos15rm3vs73zjlennl0j56y95egnqjlfn6j3prw0f, 200, XXX
