address, amount staked, GKEY
tori1let0chav99tpgt0fmecpjc9qhqztu7xysup9wu, 342, XXX
tori1lau9u4ne38ucz9cpe85nvm3sp6w7ngqwgz9wrk, 487, XXX
tori1wtx06rnx3t9p906ud0y5yrjt73nqszykzk9dgw, 261, XXX
tori1gte42rfwhljng00pruxppxutjhwhf8uz0hap2d, 300, XXX
tori1mrd7dr5vr0chrtpymck5fk0hg9c54424f628a6, 274, XXX
tori1j6xcn0z0gtcf97c6pwmvnt7jp0jkkh7wza5qn6, 300, XXX
tori10qymecrjmsctxs0jgf9jr3d2fxltyctkfxqtln, 2147, XXX
tori1y2fc95rs5fwhljwhrf0f6dx89pcw964dzgwuzg, 500, XXX
tori14cfyqlfy2dxqas9jmt6x95dfwf5rv6sf9e58v0, 6500, XXX
tori1apydaumjstd52a68jy7hg4363tm3cah9p6rkjp, 1450, XXX
tori10xttj2rxyz6pp8yzstdcc27xfezuqep9wf89k2, 373, XXX
tori1s22lks6uejp7y7ukygv8rrf4hz5pnxkvnyc6mr, 350, XXX
tori1f9cqr596x52yjqc7gvsdd2arp6rm5cck94kt08, 526, XXX
tori19h6nyqeansex4qtfjdeq0e92yczs4n7v6n6d3c, 323, XXX
tori163kx4qkwt6p5l598mufv3avyzm4yguek9dvqs2, 264, XXX
tori1smk9ckvx8p0af7xrrzmvychngpyqrz7gny65j3, 1249, XXX
tori1zm8epp3rul4lsu47szwmjcuxxa5xekgfpqw4nh, 1221, XXX
tori136v3826ka5np85kxus2dxtezj42a7tg653kfsm, 903, XXX
tori10eyjjhk6zthwdguz2gjrxvprfxpnfupkfayhs4, 540, XXX
tori18wy4l690my83js0xxjhxjax43e9ct2n6ynq65q, 387, XXX
tori1s8wy5p977yljnz62gzsn6u4yz57pan24lnl057, 1029, XXX
tori1pw4j58t52qe265q3j99h3fpgz5zkxej6ksyefd, 422, XXX
tori1d7sw0t3nyajddyjtvwargqkypqx0yumdttq9lt, 3981, XXX
tori1zw99r4ahyw2h4y62wvssz3nekfgvw6gfu7mdn6, 587, XXX
tori1cg5xzmxgalnzy5p0snhkqwxg3hnwdr43gf7h3a, 701, XXX
tori1dc2zfxnjzmnn7tfjq3l2zzn7rx8xdksuvun02f, 2010, XXX
tori1v6vhljklwknazn2zyv4pvwjl7njsls6f3naz3n, 1860, XXX
tori1mdgwtt03vs5xysjzcq8mhamdpgvdtwktskrrem, 1000, XXX
tori1k0thtn77p4sl9ad6fkxsn6ur3zawxlp7gse7e5, 801, XXX
tori1p6hqx49hpcdmexr7yydxnrx36gnr9fv5lhlsgr, 2024, XXX
tori1kkuy7ysjq9wwgd55ftk2zy2svl0xwa6e3lcyqc, 2807, XXX
tori1mdq4lj0w3aftt9p2xzumvfcekh650zrywsk2gl, 501, XXX
tori1k5w5fpu3qt4va27vsarddnruumqqprs85uqhlj, 1307, XXX
tori17xlvkaj69qnlnp8ny53hlapxxgmfseutg9w9t0, 324, XXX
tori1h57uwqpqdtk0g6trz5j870g6z76aed2kkpzway, 459, XXX
tori16vhef5p977ur7qtweewzzd0sytn7ucqrdfjwu3, 320, XXX
tori1mv32g7phy5qycqhxdfpz7a80khme394uqlytt3, 319, XXX
tori1nnuacle8vl2czh6ylpr36nk7vk2sgdnkqg2azd, 289, XXX
tori12lzvcacrthkmx33dkxfce9pffnuazz5e7lgwl7, 351, XXX
tori1j72fqcaur2vsuwhlhrvx4zte054tu2sp7yqdls, 457, XXX
tori1lhxqzc7n0hxmzetxepgls5kqunryex7lry37xj, 862, XXX
tori150lh086nkz64a0hz0mdqyj4stcgvylszqlvsp7, 2011, XXX
tori1xrsj335h3euvpxnt0a320lns59t02ma29nyhcf, 390, XXX
tori1ll9dfvekm09e75aqjsga0ljts9ucrwv6jeh4vm, 300, XXX
tori1uu7sv5kw9jx970jqyrh2rfsg7wr7kxzp0r7a0s, 1780, XXX
tori13m0e0tpz4362ya78h7ztghhdy2uj2jggmqygza, 300, XXX
tori195z08s2qj0em8pzyyaqm5l29p0w9vrdexs6pqf, 15000, XXX
tori1ger4sp8lvc2ena7f9xl7nk987ynsy8dp4kwn9p, 250, XXX
tori1s8wefc0m76aadlgv7p3hrdfnh0ddjygxfnr7fz, 2025, XXX
tori1fqus3kguf9lcd2h50rznjftzwmnt2rq37n6207, 278, XXX
tori1njsthsamgkzdqqg4awj7y6rxtuk3q26tqyrzqg, 627, XXX
tori1smawyupxkdshzg5t694tmyfktdd8frpxwwrr4w, 600, XXX
tori18fzene4sxx7t4852lhwyhwhan9h4yjrs7wqf5h, 1259, XXX
tori17xsk7cma5dg54q2lxdcasvgnhxknyfrl95m38v, 274, XXX
tori1q9snn84jfrd9ge8t46kdcggpe58dua82c4xvqg, 1842, XXX
tori1upjh84nm03gp7kjgu24sy6qp6569vyqm0xhdul, 552, XXX
tori1le7s5nw2lw80cd6h7kyukfjkaxpkqk5u48pgc3, 257, XXX
tori1nvn4sfc3r2d69c7v0j9v7ak87xepz9q50j799d, 700, XXX
tori1akkdutqp92ae9njq3j6v7nzdge3au4ldmtvgch, 405, XXX
tori1jgcx6hzvxztl8m9s6au544dym4l9ksvhldwkkq, 443, XXX
tori1uwjyrdezuv7yrpnjzwc4l9ygzzuj2squ29p3ay, 261, XXX
tori1det47ffajz6tw9rc8p606dr6fn202nvmqqejkv, 549, XXX
tori1wlureh2j6exueae8hlp5v67uedjvesjr0htxrg, 955, XXX
tori163aku3mx58uzqmy3g3723sl36sc5890xlfvvj6, 2027, XXX
tori1kkv402z0nxtf0qvpk3m4s0zjh0ltwv66k7vgqr, 268, XXX
tori1lgu66ly24wz0x95hkhuzny754hfm9pkuj0nlm6, 866, XXX
tori1vewrtkcatncl5qgt9djtcn0j28ukqjln3nwmlz, 261, XXX
tori1w40scum8rehyck89wda07sv6wnvuyuyq43w89z, 314, XXX
tori17qu8c73xgncr0kwunawfwfux3rutr4wvkrnhap, 802, XXX
tori1dx6lgrkf608agmdqx6lurpt86dq3x6l0m0lk3u, 999, XXX
tori1gve4gje946ln6u7748sw36vgj7twfkmvfzdq75, 295, XXX
tori1q78d9un45eqp8ds9a66e0vq9saxv4n6qe5j5ld, 2023, XXX
tori1knp0wpqlvhyqnq2ca22gdjuvmcuj7zqd0j7vas, 410, XXX
tori1e8ls9qgznqe4qk27c7lcmrmqtuzz89qc6pr2f7, 561, XXX
tori1zs2nylv6w5a9tmyhwhfjjnyrvtswmlkflynalr, 2286, XXX
tori1tv3px5jagutsc0xycj4zajv0zey7rar2p4huj4, 261, XXX
tori1gu92w3wkwawq6q8epdsyce6x7q5gzvv5qgm8c6, 284, XXX
tori1973qhhswmsf0y99h88t40v7ecgzqhs6rapu8za, 251, XXX
tori1705m59l09ghgceudk79vhr00926qpyv4y88g6w, 269, XXX
tori1r6p9lshmmcyfyzkx7gu9wthrqx9az0rusgg4cl, 4040, XXX
tori1584qf4nsrs7g6uddnfljlryjaya2lqye0th3ns, 14546, XXX
tori10ujj0xx8fcqwsnrfkprjnhvu4g2x230uc2x4qk, 1570, XXX
tori19j7q2n8am6fmm98dy60p3dn2r6jw4euyp0cu4h, 551, XXX
tori1p3ulywc9ckcdyjyp03ex4gptasxg003d5trzg3, 251, XXX
tori16dpfdh2kmrnpefq4qcfzh47qxy299yta0vtf2c, 289, XXX
tori19mehn522gdccdctlqxpye8gfs0nh4ynnfn7ppn, 3019, XXX
tori1tdry23dspgsmp55zywtjgw0f57neevvw9kxd97, 641, XXX
tori1pqawqj4pr5tw38w4d45t47ce2vj09u5qjee7hh, 10728, XXX
tori1axe6uc7f8wuwuj66awmlzj8m6n72k2c27rrr74, 939, XXX
tori193f29pj2n8zypqxnqryepakue5s0s4h3m9949z, 250, XXX
tori1y67w03eqljlxmh6nny2r9zwcc9dzgv4a6pwcuz, 354, XXX
tori1rahfp6agdqwzxxvgmu0nq6lt6t2y70303ma9v9, 768, XXX
tori1a696c8ku29vd8k8wyr6fqaankwuuh77x6qu7uc, 294, XXX
tori16n3dm25kucwyzk77f7htnwut8evlgnv8vkg7s6, 549, XXX
tori1mcrfu6hc00hf5hupj9zyt98td7384q88d3ud5u, 310, XXX
tori13gccl8hlxpkwsp2gc57q3kr9jhr8hz6d7529hf, 299, XXX
tori1gdyupeqgntf40tnkz47yvm7atjqr5cp2fc8npt, 2028, XXX
tori18smcd7hmzj4pt04vmt693u6lcvtxr44e7fzsdz, 252, XXX
tori1gluq7t59ed9nv4e0jf9xz5s5xz3pvgruk84cyn, 1240, XXX
tori1ps7euu9kqdfg0w006me6p5n80et3rgngtvm2gs, 2020, XXX
tori1h9j29p7ycpuj8yc9gh8kf70vltcehhywdnnmzx, 2009, XXX
tori12zezz4hllguxudufp2vyc2ftewjdjl27v9nn5z, 438, XXX
tori1rlsdrt7m2aat7cvjvks00n5srq5khllqafxxad, 1956, XXX
tori1gsdddlk569m46sxu7t838uj4q2w8v0vxrjm2uz, 300, XXX
