address, amount staked, GKEY
osmo19hsx9xlqqkmv0tkephepvgcmmjhazy43lxcmx2, 100, XXX
osmo1y588p0whdnmgna2wyhdwzhd6678ptsxd99u3td, 114, XXX
osmo1u3qfavutu83e027qdp6hxuckmt0pu2dre28jkk, 302, XXX
osmo1vfpv9ed33rkc82al99mcw5seuk4v5ua43g3mep, 319, XXX
osmo1ec3fd9gajdzk4yt2pf6suzkfgqs2n7gp8fmp2c, 784, XXX
osmo15r6cag9hwushe8n9sjen8hhgz268h5wuj0jgvy, 116, XXX
osmo1fhl3mweztg6frpc06v0vjtf53ewfdtstqvn9g4, 106, XXX
osmo1uym3mu9xsdvykvr320aefkp6vh78mgvahrn7nv, 144, XXX
osmo1tadkwfwd40jq4grf7mxvseansw2gv7xh8qx4tr, 319, XXX
osmo1jj4m6gsdk4j0943es38x24479mpeqr4rttkysa, 152, XXX
osmo10ujj0xx8fcqwsnrfkprjnhvu4g2x230uj9zvd5, 106, XXX
osmo1wn5kws2yledwakx6ewlk5rwvu5nquaj7q9estq, 125, XXX
osmo12ufa0ey2c4aaq8aufr4q9gsxuux0a8zf0g24l5, 996, XXX
osmo14lpnnmmf6603apr26gy7v42cmrgs6fdn066fgv, 103, XXX
osmo1r8wz6zt6h3w97pa9vgsmyhshv6mdlse0qfynkk, 114, XXX
osmo10jpsh288s4y4ncgp4v8nwwxv82lyjrrtxd4rqg, 100, XXX
osmo1sez6qhlewax4tjpdg963xu8vfc3777wkwyrnzq, 100, XXX
osmo1cx3ddehzz3xknxhqfrwepa7c3j5wxjyneqe4du, 114, XXX
osmo1wypz02vqw882grv305mw4ks57q9qpu92mudmzy, 100, XXX
osmo1vzkq09kq9jurdn3jmltdgmax478kwxzr7gy3ua, 124, XXX
osmo14e8p0zpnlt66479ffxp259lsw8xhjf2ecf4j6e, 114, XXX
osmo13h59ek02vmpra6zlcp47068pgxujaxjex95pyz, 101, XXX
osmo1vuafuq42sh7xgjw6y2500yjlm58m3jrjdxtvw9, 100, XXX
osmo1xpy205ztgm9qudu0zwucw9qvjvgm2d6spgj045, 109, XXX
osmo1pwz0f66l6csww4k5x25gpgqhr2usxecslhezdt, 100, XXX
osmo1cxmzj73ysxqnx2xnv868fkjkt0ly4szywmufar, 201, XXX
osmo10g3hzsme335q8r2g3p4y3x7s2pv587fwmpmsk7, 555, XXX
osmo14jxz7vdsx4r4zgc7jc23lfvna6y9rmezhvs3at, 117, XXX
