address, amount staked, GKEY
cosmos19caz5cgq4cwqdmfealqrq4uw5j56q8macyyuxd, 51, XXX
cosmos1ysq9gst3vx5yt4wmkeedl6jhqq0zkxtts0pmcr, 35, XXX
cosmos1xf5rjjtt8f440505ftzem3tgyzfgnqfszdz97e, 36, XXX
cosmos1p3ulywc9ckcdyjyp03ex4gptasxg003dkl5tnp, 53, XXX
cosmos1pda2urszcgqhyqfx63zqkrehj266rzla8xht5x, 35, XXX
cosmos1lzv805nvfhat0y4ahsgkmgv83gpprgy8qvgfec, 35, XXX
cosmos180hvs2l6jw0ykuc0wfzgqkzn087vrg68s86fxy, 36, XXX
cosmos1qt52wrdj0gs5fmsefl5valkw4grtcrcat3lp0u, 35, XXX
cosmos10u24rwqfxl48rshaasextp5a25gejuzayanrj0, 36, XXX
cosmos17q8gmyeladh7ckfghmlx72mundemz44awj8p2m, 36, XXX
cosmos1vnqrw407g9tc3a4x5zc7ngqdqayucrprkevxjr, 41, XXX
cosmos1zn0yj537t85jffvrhnpl2w480rdeuurcpjhnnx, 35, XXX
cosmos1xusmwr85xvl7vezpmv8gsm97svyfzczfe4ac3z, 40, XXX
cosmos1ucj4xmmq3ykgkw2halpf24h5n2awsu2thrd877, 35, XXX
cosmos14cfyqlfy2dxqas9jmt6x95dfwf5rv6sf8drwhl, 35, XXX
cosmos15y2jy3uatqlavdmjkfr779dydgjqk43a94pwxl, 35, XXX
cosmos16e32x4jzdqkjle4vetvx0pyjs6vpaaut6g9sya, 35, XXX
cosmos193f29pj2n8zypqxnqryepakue5s0s4h3e3ju7j, 42, XXX
cosmos1c3vjrtuut50fqk4vgu28mt6zkpy05d899df0mx, 50, XXX
cosmos197yrx6t3x06g4ze905q9j8vka7dthranx3m7dc, 38, XXX
cosmos1uwenqayqm823g33nxnzguhtytq8erc48jufvf7, 40, XXX
cosmos10u5apd40cdhdkx82dnlzequalul446r0ng69rs, 52, XXX
cosmos1v7w4fs3eq63vfn5xqqh04pzuesj44u9es9r845, 35, XXX
cosmos1eqhexdtptfsgyz0m9efg8s8v5vcmsknxclww3w, 35, XXX
cosmos1paeh4chy7z4qtqrg68k459ps5elkuyt2c542zw, 36, XXX
cosmos1urnnuxaxzxhxry5c3xnjaspg0f8mnfkh6e8k4p, 101, XXX
cosmos1s7k62zu8newvalp0u9a9x8mnn4yanz8n69jq3z, 267, XXX
cosmos19gcza5dmm9dsrm8qquts5vhfhm3y2c7yn0qjj2, 35, XXX
cosmos1v4cs9tqa8s3k245h5yhfwjzdaunryn77c77znn, 40, XXX
