address, amount staked, GKEY
tori1488kv08va80uyw3rqm03dxapmgak6mx4uz36ps, 321, XXX
tori1k278k46nsvnc9ahx0n94qwt9qul7vea6y87062, 500, XXX
tori16ppny2tg39epm4seukrumyyaxlfrgr5d7pl296, 255, XXX
tori1h9j29p7ycpuj8yc9gh8kf70vltcehhywdnnmzx, 255, XXX
tori1sruskcu4qr660gmf3kvjg9tkk0tjg2szj3qvp4, 266, XXX
tori1q8qkghenqacqeq5phgmny42pfuxmmuhlvv6r27, 280, XXX
tori16unn9z0w4daawnq4nhpxlc2a7k307m3k0y3d7m, 335, XXX
tori1gzy0f2ggfjk6mrlv96nlur6awqdm2hd5akgs0e, 251, XXX
tori1rw76mkr59cecdkqr5r4h56xvwuxjtf549u907y, 300, XXX
tori1t9dgymsxux9266fcmswlj288lh4u4hcq9f2e9l, 250, XXX
tori1rz6ackm5p23evrw90el8j5376m625hdmltsyht, 294, XXX
tori18qs69kefuwr8zfvm4evgungzyv690snjahrd4s, 250, XXX
tori18sz50u30vfpf7lzdax3grekyn6snq0ucqfplkv, 276, XXX
tori1gtqlqh9ajc386k9deftddj5k5703hlfpsmz4kz, 296, XXX
tori1ps7euu9kqdfg0w006me6p5n80et3rgngtvm2gs, 255, XXX
tori12nmelh9psl0hnah3ssclqrgh6cup030sgnz86z, 265, XXX
tori1s62zzaunhyy2htfm0mjpuyzvqccpe2hr3sh4ru, 250, XXX
tori14c2dcjumq02n2w6njz0yek633pckm3sl72nz9y, 250, XXX
tori17xlvkaj69qnlnp8ny53hlapxxgmfseutg9w9t0, 256, XXX
tori1h79gn3u2hfeyvqz4npct574zr3vdqspesntk80, 300, XXX
tori15pwqxvf22r750lt3pgfda24trheakx72d7l332, 392, XXX
tori1hjuedpvjn2ndtf3qzqnv3nkqqlqf2yc4d69a0c, 340, XXX
tori1l0sqp0sv94jusua7t2xpnxu7ggsqtjd9cnnpz4, 274, XXX
tori1gmhzke988e24gqrx3vmnq50eaaadrat9m0n87e, 255, XXX
tori1fa59jlnx2aljljp7v2n9thc8ul9y74pwv7sfw5, 284, XXX
tori1w2qhd68h0ffkpp3xa6d2ejdv643vqtd6p66hm7, 273, XXX
tori10ujj0xx8fcqwsnrfkprjnhvu4g2x230uc2x4qk, 270, XXX
tori1u548v62mr0yf34xnsryu3pp27q6zn47l7aryhy, 256, XXX
tori1vjmc7sjhjx2crn8gq8tpnjp9xfzmj77gxn5hdh, 276, XXX
tori1pw4j58t52qe265q3j99h3fpgz5zkxej6ksyefd, 300, XXX
tori1dncdtyq0takm2mejacf034gghrxchnx2jxd2ls, 300, XXX
tori1xusmwr85xvl7vezpmv8gsm97svyfzczfmp232j, 251, XXX
tori1acgruwmr9kscx7jrlzqut5y0zn48759ldyumx0, 281, XXX
tori1pm8jhqcmjhh85u5ja0yqcahk42n5dsgc2jg2v7, 252, XXX
tori1qw3dqw58tdpu96nevfwm49n9hd6j8n72hn4hfe, 300, XXX
tori1mx26py964dy0rraylx9pz2wu3p7lv9j5t2wmpt, 250, XXX
tori14cfyqlfy2dxqas9jmt6x95dfwf5rv6sf9e58v0, 647, XXX
tori12nhmkc4z0phghz6pxnvjxjca9xfk79a2m38k4m, 262, XXX
tori10qymecrjmsctxs0jgf9jr3d2fxltyctkfxqtln, 333, XXX
tori1gwqe0u7tfws2zr9qr4jx9le2wn6v6wyy0f9frh, 393, XXX
tori13rt6jlckvkfst4tvarscsyz4c2eqq3cgudxfac, 250, XXX
tori16y7f6yx0fryqhjtv6s09fwdh5udegr5x9gmvqw, 400, XXX
tori1pvcn0jjv2mugdevlue9vj2ks7ryjgtccnveklz, 250, XXX
tori1fl3xxsd9ljtkm7vx8xqgwha5lpaj6znpzjsec8, 255, XXX
tori1q2yjru58ap4l67g3w6ngtyspkk5edrz9xje9d6, 263, XXX
tori1uhwseqt0ag2vq65rz997qq9gavhudeq70u4gqu, 256, XXX
tori1zy7e04vcja8qut5vru8f0vapj4rpkqtccslegs, 271, XXX
tori1vnstt00v8k7dd73579843d0y8qt0c4hxzqy0de, 356, XXX
tori1w92mjwqcjxt74nk9z26s2ax3a4jceyw5g97eux, 255, XXX
tori1v0ehs85us8r54gjun5cm0yqau5a9h6cfaluaqj, 318, XXX
tori1hsveqcu47fhay5y9u4ld7agqrlxfvm3pen0muk, 281, XXX
tori1j6xcn0z0gtcf97c6pwmvnt7jp0jkkh7wza5qn6, 300, XXX
tori1usckzz6h4fkcknv4nkr2apqs4c4fwzc5d8kqm9, 2032, XXX
tori1m25cswlfxumuj395mvkv6xg9502jn94j33uh73, 331, XXX
tori1fe7g2ead2jddmqpyk6ewufqm444dd626s2mphk, 256, XXX
tori1y2fc95rs5fwhljwhrf0f6dx89pcw964dzgwuzg, 265, XXX
tori1d7sw0t3nyajddyjtvwargqkypqx0yumdttq9lt, 285, XXX
tori1qgme8vlq4ly8tcye6xdgxnz4khzq9es0crdlqx, 254, XXX
tori17l8jpfvnjkurzes9hw8k5ql2hly2kh7p94w4p3, 252, XXX
tori1hruemq3recacnk4k2pfj6vpuqay4awek23xp33, 274, XXX
tori14yv8mex3zlpy5u44fz6x6wgq76mexg303qac23, 255, XXX
tori1lewrntjs242rlcvxq6hagpxteh2g80865jm6z2, 250, XXX
tori1qe0pps4aud8tpr56aal7kcyad2aswfs56nlcnw, 300, XXX
tori17vd6ezaq6w77v8j60lmq32u7m0q4hajz47dmuz, 349, XXX
tori1aqtgjshynfcjsj5m3p0tladddrqwk5gueaew77, 264, XXX
tori1t7n2uhuz9usqr005nf26su6lcwzmmzvwzh0j2k, 288, XXX
tori12x22gr7mlumxqq0au5zvpa2j27jjxvpwrwazjd, 255, XXX
tori1s8wefc0m76aadlgv7p3hrdfnh0ddjygxfnr7fz, 256, XXX
tori1c2tzcqu4eycdx98kh3d5asw7qeyhh4llkc2q99, 310, XXX
tori1z7293l0m85qgj8s8xd34eaxmz9j7av6aezaa9e, 251, XXX
tori1ger4sp8lvc2ena7f9xl7nk987ynsy8dp4kwn9p, 250, XXX
tori1k0nf3fu5xv7uh4uenr2r8jg5s90ucg6874a0r5, 250, XXX
tori190uhw92ecjglxdja0u9q4k3rhctazj40yuf7q9, 399, XXX
tori107k0wpg0a9738g4zphvw6zhxdq3h69zzgqwk0n, 250, XXX
tori1rnw2a5f0qknyxqkzg3etjuytz66ng56uu27spp, 255, XXX
tori1jqsavy66sppryzmjkth5zgpl54a42h7yksj358, 1491, XXX
tori1e8wqaa4fa7dy72mcvqzfxtgp4ecf3ql0g2jqp0, 250, XXX
tori1le7s5nw2lw80cd6h7kyukfjkaxpkqk5u48pgc3, 255, XXX
tori16n0cvw3d42f63ee9j9y9mpq9r449cwnvxw42td, 315, XXX
tori1yr3yvqz4pvkqweh344nwgdthl3ewqeq2464g4p, 250, XXX
tori10v0mm37fqkv22qkcmr2a6unwqywsm3z4mpe7tp, 270, XXX
tori1jwytp9wsrfa2fqh5h7xu27q5tc4nztwwzvg5ve, 254, XXX
tori19mehn522gdccdctlqxpye8gfs0nh4ynnfn7ppn, 252, XXX
tori1jgcx6hzvxztl8m9s6au544dym4l9ksvhldwkkq, 258, XXX
tori178n8r8wmkjy2e3ark3c2dhp4jma0r6zwmmpuq6, 481, XXX
tori1y67w03eqljlxmh6nny2r9zwcc9dzgv4a6pwcuz, 300, XXX
tori1fx26m6xrjmus2af0y33vpvngml22k50j0zky5y, 255, XXX
tori13hf88n6z89jmktgn6ry7fzfs045ty0usx6k982, 282, XXX
tori19ntdg6s0rzgrx8lpweaxpnqp76gfaajen6592l, 250, XXX
tori1ll9dfvekm09e75aqjsga0ljts9ucrwv6jeh4vm, 300, XXX
tori1k0thtn77p4sl9ad6fkxsn6ur3zawxlp7gse7e5, 301, XXX
tori10sgnz8knyzxw49qeh9uq2t43ulyx2vcu9qva9y, 300, XXX
tori17nzlp3ht3ucpdv67d9clej524v50r6sr83kc5f, 250, XXX
tori1yvsp4fvj6wwh9wwdqrj4l86nf2sz4czg0jzmjy, 300, XXX
tori1smk9ckvx8p0af7xrrzmvychngpyqrz7gny65j3, 271, XXX
tori1k0zdx92k6d60vszdhm45hk4tpn06f6kgah692h, 379, XXX
tori1fm3j87r8tt0c3phw4uxmffcrxje8lwxul2pscq, 259, XXX
