address, amount staked, GLTO
juno1qmpds0qvrkpj7jzvw5m42k3ptnx2lrsyjfzyg7, 1291, 1853.74989
juno1cey8tl97uclnk662036fmqgcpy8tx4cax3g9x6, 200, 1853.74989
juno1jpeahky6p7wa0cdjgmxl20nktrc3s54epwlvh3, 250, 1853.74989
juno1tg6kav2cu8envfv7qxhalma9wawcfvxg2s5f3c, 505, 1853.74989
juno1y4vrdul6wzxkn39p37nh86htts549qv6zkly2z, 252, 1853.74989
juno1u4qx3jppyfqaukgq2p669atcjnjwxqdx8pd458, 547, 1853.74989
juno1dp2azc470q7kv9amxtplaksqa6n8rqedul048l, 50, 1853.74989
juno1flanfv8q6c0fz0dn524y7y3ryufxaj4k384n0h, 116, 1853.74989
juno1vhw799ktssg0futshu92vyw75d6552xhxj8hjm, 78, 1853.74989
juno1dkk2awqq99ylydjhua6j2y9l5z8c5vg7l0eu0u, 133, 1853.74989
juno1wuaxuv2n2tx0q64g392elkafsdr9am5jdm7nwp, 114, 1853.74989
juno1axp0cm2ftjgp0d0ln5ruezduy5uyxnswque2al, 82, 1853.74989
juno1fjafjjdhsqxme42spaapzgc2v9rmeqnmeyvc0p, 347, 1853.74989
juno1rf5hprmts0h50ww7mktkly9pw9sdkyt6twh8c2, 114, 1853.74989
juno10l56rqzm7f8d0a56d3ml8vutxyep7mymnakrzr, 271, 1853.74989
juno14dks59265muzy0wk73p54dmr36ud2n66ejpzzc, 90, 1853.74989
juno124aujfnz2ttutcmlfrr35z3gxr70h5vn0wr2jx, 106, 1853.74989
juno1x7tq4hezc3uakcjjh3hk7gu88dkrkc708h5z3h, 51, 1853.74989
juno1hues4ccezz25cfvpklfmy0qfk7keaeunlp00j4, 58, 1853.74989
juno1ar9rc40armn32clttnzqc92hlhaa70y2txads0, 56, 1853.74989
juno1hplkdulrzflgv74pgmkxju0h5yqgl2hq0ddvcd, 982, 1853.74989
juno1mp782ryxx4qltrk4qd5c47vndkudn5fjsk89c0, 725, 1853.74989
juno1kjusn2sn4950zr449e70zgqhvtlc2rpu67sdlr, 114, 1853.74989
juno1ztd02jyfpcrhzc9zxdp3vh9v7vshrqtkesrs7f, 62, 1853.74989
juno13t66nt0p2n4srz4n7g8nmhwgt6rw5jh37ac6fw, 50, 1853.74989
juno14xtujchach3c836xklsdas8tf4eqjlxr8swge7, 57, 1853.74989
juno1p4aug8dv0mflfevxn6p2lk2v3hsg00t35rvtne, 58, 1853.74989
juno1j69657323j67s2eghpe2kmalnpaqug434k4azj, 866, 1853.74989
juno1ltzr3yvjpv7skdmh9x57y7zs0rt9f79yukgkrn, 78, 1853.74989
juno1eq0mtzf2awg44yv38sy92v4tsp4hxm84zukp3q, 137, 1853.74989
juno1aecj5zjhg4j7sltn264pcnvj9y9le36084xmrm, 167, 1853.74989
juno1rkf65q8rp6era69g0v2g62hsr0050yjz4r7983, 982, 1853.74989
juno1l8da2xr5hcx00z8epjq9ghr4frqrwlrvyyzrkg, 64, 1853.74989
juno17pgkye0er063ld2t3ks94f3kc946atm66r24g8, 71, 1853.74989
juno1ga7nyuhlgxvtd7aryqtf8mhl3udep4d4d7yp2d, 50, 1853.74989
juno1zgkzppe5x5kqw7ugla0jnk6frjwl85yd8ama9v, 223, 1853.74989
juno16xpa804yxww0cpptg3n2t0rs28j0hs3lh2r0c4, 172, 1853.74989
juno1w49n7jvvt2nlgjml6qs2x6mnghty55xh5tau59, 50, 1853.74989
juno1nwe3fxkeqpmvqvqtuajv66knuzpnzxlppd962n, 65, 1853.74989
juno122g44kjug2zm2vv7kp7kwgady84urth5q3w63a, 211, 1853.74989
juno1m7qsqld8p0gwngwu2t2p2qr8edqjtkxxjkr4np, 59, 1853.74989
juno1ae3un4p3q8kkqxqar4f3g6tv3djna9k0hfe0yg, 227, 1853.74989
juno1u70tvdm9wr65xnnsycymlrhnwfsj3sanulp40n, 186, 1853.74989
juno1aehdvhrfumasn49tdyyfcc4jn2g8dus2ydtxpc, 114, 1853.74989
juno13hts68n6gg3z3u3syefrmzrzghdwxs3v5q5qzk, 68, 1853.74989
juno10jm8fvdyqlj78w0j5nawc76wsn4pqmdxvusln3, 7541, 1853.74989
juno1ea7zqnnk08y6xtfekpgslgvlv08rd05kke5adz, 436, 1853.74989
juno1eslgmvrdyfr7rzkur93q7u6wnknv56lr3dpy5p, 794, 1853.74989
juno1y5zsxx43u5uqgnq0enljzjuut3ad9xlh98ff3r, 627, 1853.74989
juno1jtc39dgp4k6myettzltd3nqrxf9eqfs2ce8067, 50, 1853.74989
juno1pzpmdzt2j5avd2qx9hkaa4adrpuzau08ynt6kw, 204, 1853.74989
juno1xug46uep68c3g6nx5dt8m3jvxvfdenrkqq3th2, 199, 1853.74989
juno1lgu3kck7ct9ejarkjdf7at680f30yyzmww2g4j, 140, 1853.74989
juno122537m0dm0s39n8v03h370z3jmmg0neal70tet, 283, 1853.74989
juno1276w3ry7wt4wzvyuga88mpamk8e3kjd0g8z54v, 50, 1853.74989
juno1ymrang9vfwycmkx0q8pjkekfgmauyg4ap6r4jd, 106, 1853.74989
juno15cvq8yw4y69yntmjkdg05rnqxqp3dlw34vvs67, 327, 1853.74989
juno1p3nf9fhf86qnyxuyes3flt0hg97a60lzw3rqzh, 50, 1853.74989
juno1tm2574s2vxshre22dmp8lfxugp0fqqsrpgfttn, 76, 1853.74989
juno10lgdszxem58cy6nvh4nkffd4t3f8vaa9x34e2c, 266, 1853.74989
juno1famw98muxeux238k4k4wfhvenq3gzvcl7ncp3c, 102, 1853.74989
juno1ew8sx5yfgm3g2suz7gfxp5897upwe4nq7swfd0, 336, 1853.74989
juno1883umwjnjv6gyjjkkgn2tkyka9qg3wqvcvdqpl, 50, 1853.74989
juno1wg97ftzu9rd592qrgmh7wwfqe3kwwx6l2r5q5n, 87, 1853.74989
juno1wru6dyerr6nalcuxeylu9a287uv6z8tfvzlyd0, 75, 1853.74989
juno1ue5e5v2wsmkxr87hzlp2h3zkz4fh7cvj6vrh85, 156, 1853.74989
juno1ctgz008vwaq7wp9z0dqyhpf2hvyf2aa8ak5pk2, 1045, 1853.74989
juno1sukvt2mldkmugt0qnrwnkgsvdra8sekx6t268y, 646, 1853.74989
juno1ljwg82hzepj3em96565wd2ej3unkrtp48xsv0c, 55, 1853.74989
juno1mw6k8ul079uat6c0smwtzjqnly2nl2qr5th97l, 94, 1853.74989
juno1m3auz8y3n4u7ymgkxgsm8a4m39nw2jx8rsjnlm, 55, 1853.74989
juno1j37aljze5knsr5rh6pr7wlfpkglx3vv4plfpqc, 178, 1853.74989
juno1rrgw89a5j2etqyjwwr9j707qm8urykc3p02920, 82, 1853.74989
juno1fg4q69f7yf3vc8pmtghptxhgctnrvh6r00hls3, 101, 1853.74989
juno1m0dv99wm094grzmjrug6k5hquww79ydj94553g, 50, 1853.74989
juno1n73vhf84rsvc5hkh8l4xx34c3n5mk78r6fjmwy, 331, 1853.74989
juno1ej3vmxdkv4kjcp05j6p02280qf2wqltl9wnxd5, 125, 1853.74989
juno1zcgpp9x3ecsny6vy7rel9ff6kay26uyu8xgjg5, 100, 1853.74989
juno15q2m3k4zzld2yu3qlnuhwcj7n3php5hjdevwpz, 200, 1853.74989
juno1cxful6l52eh0aknkufwtwmre7c4lvhv3lktgaf, 5113, 1853.74989
juno1krt6h6ea7qp6mdunvxjgsht4zdnn70htnp84wx, 170, 1853.74989
juno1amnq7hng9sxmsxj4vpcthtpxx0q8uwahehpclz, 144, 1853.74989
juno1r9r4u082x7nj94jh562yewmfq2hx9an4kakrnd, 50, 1853.74989
juno1wt556m9nwfazk6jmu40uzkmxktuj50cc0lz5dx, 62, 1853.74989
juno15q92gsc8vu7x729fuswxcq760l8t40l7ew273y, 100, 1853.74989
juno13aczc23h2xs29qwc4chxayustsvva438lnkx8q, 247, 1853.74989
juno1mt9nauxzjpnt59e8zp2smwqu59n5635wx0nw48, 104, 1853.74989
juno1jn5sxe67hhface9lupuqxrz8xpufwdgq8xaxxr, 72, 1853.74989
juno1ncyugu3s7mkh8y6jnruu9j858rf68zvc5kpycq, 1000, 1853.74989
juno1p95afaxpdjwydrnfsaf9p2jdv55lemyclqwzc8, 914, 1853.74989
juno1guztpm035q9t3ggyk3p6nzd5557lnk4f5up83e, 150, 1853.74989
juno12nuggu3cyy3pazzhnxkw09t4qnv0mn4kudp5as, 1860, 1853.74989
juno10rg89xa7lt0fffekurga4tmj6j3rzafxpdgckt, 65, 1853.74989
juno1anlwhlldu4ffqrk94w9hzqzqvc0msc39rua3j8, 185, 1853.74989
juno1fwtlm9spclvzle8rw0gezkphg7uh8v6gr04syr, 50, 1853.74989
juno15z4zlmfew3hx8p57m9fmdrs62345slezvgdw3u, 621, 1853.74989
juno12lzvcacrthkmx33dkxfce9pffnuazz5e2euurj, 80, 1853.74989
juno1x9a80hhkf8cx3450kdmh7u8djm2g2yfd6l22qr, 165, 1853.74989
