address, balance, GLTO
juno1l236pmnwe5q9fmxfdlah5f9j3y3lxy926zc6kc, 1.575176, 10946.91647
juno15hxq8y8w6hwpjxxzqk63uh97258jv2xd4yqg6c, 6.000000, 10946.91647
juno1gnh70uzvmgsn7fxx6afn0f2338cxrdx6jc3jaj, 3.073236, 10946.91647
juno1h6p45cmmkc77p2kx0zwm5hpdd69el5rtt7tkj5, 1.000000, 10946.91647
juno1ate5nqvum46uk2k3ta27e7yr3fgskqll7k6272, 4.001379, 10946.91647
juno1kzgq8njwvhl2y05ac9w7hp95l7fnjll2wasnr2, 6.017507, 10946.91647
juno1tyyqm3agxuncfznrv4z6ff489rx0vq7c42rg48, 0.800000, 10946.91647
juno1s8ncf0yqhvx24u4v5euw2pv7pvzmz7crcnk8sg, 0.533806, 10946.91647
juno135fht496a7efwxedldzeukjrguwg42uqlekuhs, 1.000000, 10946.91647
juno1gr0zryw5h0kmxdj24yh3t0y8c4xfel27gsw6ml, 1.048074, 10946.91647
juno1xm7lau0vas7elyxuyx9e6q4pg0uh3fwyd4qygm, 4.177788, 10946.91647
juno1m4tqkvw22zgl4w9nyzfeyccnk696r6w7aslk9z, 2.982443, 10946.91647
juno1cy04egyn7rfvsjnnd5f0humq29na22gghxkes5, 1.027522, 10946.91647
juno1gj73ryha8d3l3cz76npcake9w8g05sjc38tml9, 11.200000, 10946.91647
juno1g6kgezxak50lpjar63jkqfzr8n8vh0wqs35ssn, 0.941161, 10946.91647
juno1l6rcvtkv9kf7xtksc4se0h27gnr4xwaye5pznw, 1.658017, 10946.91647
juno18x33kwxnexlz884d38p2hk24patq4pjspre0q5, 1.325949, 10946.91647
juno1zqp70nhzlhw4uy3cy5alv07ztq4ks0f8a5q3e7, 1.200000, 10946.91647
juno1waakw07nlsah0pvt5dwslhkjvqffhfmr99c5fr, 1.899745, 10946.91647
juno1zp7cnj77mr0wefth7um49lc0nyqz5q9fgs2y6e, 1.000010, 10946.91647
juno15hz829wam3wc3k9jlhdrwwdl93050k29c3fjf2, 1.000000, 10946.91647
juno1jrdnxle2qq4p2getpf7ttqq7dqf0et9e7sc3v3, 1.144540, 10946.91647
juno1pg0lfu3t045qj76k59kfj24xvdv8d4g9mnx677, 15.129704, 10946.91647
juno1rdr4gvunlyze4zawam94djnm3h2gmlgcpqfgte, 1.200000, 10946.91647
juno1ht7mzvj64s2wxr66yezh7l0h474rt3w933s53r, 1.000000, 10946.91647
juno1fpasqaze27syq96kp986kjrug35vshg2ezsw60, 0.500000, 10946.91647
juno1cr76fzj9rcaj5n6s9xq0acye7m9ycrj269t9xl, 1.000000, 10946.91647
juno14q809c4fhnvqktpeef4nz8lk7hgsqxwj54yd7c, 1.030861, 10946.91647
juno1hy93akvmprl34526xexakxwefya0s7c46mdv7h, 3.545717, 10946.91647
juno16x03wcp37kx5e8ehckjxvwcgk9j0cqnh9wt642, 2.126773, 10946.91647
juno1p0thdn96qx07veretqvae7ugnxsgfcx49l43k8, 18.481989, 10946.91647
juno1v0sgf2mev5k6ad5zd2a59jc9vwjtgpw87m8ev3, 1.000000, 10946.91647
juno16e2ppfuazahdkfz8whmwasws744cdhlck5z5ww, 3.946117, 10946.91647
juno1hkc60hljvjdxvxn58mreyf8g0darmngtuqf830, 0.507946, 10946.91647
juno130lcj6xtxm3tej7z3dnr5pv5uaauxqgj5se4f5, 2.028101, 10946.91647
juno1hmzk8ngj5zx4gxt80n8z72r50zxvlpk8kpqk6n, 9.610681, 10946.91647
