address, amount staked, GLTO
osmo16f54mz7mhl70ld6any48lxmaza5pgkdjw0vxmd, 263, 1320.267386
osmo1zualynuzrv27q3y7cv2fff0r9u70h6zt322h7t, 1123, 1320.267386
osmo1qpzf9259y36xywwc9606mduz4my5c43uzq0mw2, 105, 1320.267386
osmo1hryzdjsurae843myrrg25ulgttr2kdzd40s2cn, 156, 1320.267386
osmo13h7k7ctjk3yxga2zyldm8c3dvrp0n2e3kgzzzq, 575, 1320.267386
osmo16wvwdtlkcyzcpvp3faf5ngg56tvrlgu7mjy5rl, 425, 1320.267386
osmo13ta3ntv36p9hp4vgur872q35eh7s4fh4y2z6l8, 105, 1320.267386
osmo1nvm4f3j2wa50h5umtavcwsxl6l786uhwjfuvn4, 1164, 1320.267386
osmo1wtqpsav74lq65j00p3g3n7vwj7tmym54t4zsza, 3660, 1320.267386
osmo1nzjk9m6jmn0pk2wrrvhn2hllce6mrvlsa4wtlh, 451, 1320.267386
osmo16hytlpk2jyyce4sgqdgm94tjt7paua47sq2z2x, 172, 1320.267386
osmo1e3dpp7tq7h40kksaqedfvjfy5rv92p9ae8yt07, 226, 1320.267386
osmo1xxfvvf6gukus6paasyjfhgmzmmdc25q6s82ugv, 271, 1320.267386
osmo1648f76ur8x4gfl2c8xynadk6cvaec3nw24ef2a, 100, 1320.267386
osmo15ag85szup3asswmklw77k55w8gkd8r7cqypdr6, 101, 1320.267386
osmo1d2t377k447k4xe0lkj3sygauqd7fpr2ggynk9j, 110, 1320.267386
osmo1570zgpm0dx8965pk9rrmjv2tllfxmnrd45px2y, 20000, 1320.267386
osmo18ttwjhl8cwfue7tx33aztd4kg38tn8cxde9pt9, 150, 1320.267386
osmo13a77e7w7q20nr9l2drucntpzm8nqeduqmrz5kv, 7600, 1320.267386
osmo1204wqspzkzujkrsmsj2kcpr4j8r79lknq3sdmk, 110, 1320.267386
osmo1p2mcrx34t3hquu7l4qn67xn89qqfmsnqkvlzt3, 101, 1320.267386
osmo1uvwnuaked8n3aumme8d8t9wtry9qpeyy9zuzgx, 155, 1320.267386
osmo14z7lngdvxrzaj9a3rhhgy0vtt8dyx45zkp7fhe, 285, 1320.267386
osmo17xljmkmmr3y94752fqt629f7e5alt8ur56temh, 1277, 1320.267386
osmo1fn5fkex9fsydfdcd3h26gn95j4cwytrqys4s3q, 2296, 1320.267386
osmo1cuz8vu3zwj8p5gru2yhw5prjduq2ytl83cr8z5, 251, 1320.267386
osmo1c497zfps8ljk0jhjhnj27d0kw7mne0ua528mh3, 101, 1320.267386
osmo1m8sxn5fnn74ftw2npw5d2fu4gxlha64ttur36x, 291, 1320.267386
osmo14gyy2vr8muzmhnkxhx7g82s7ljpaew8p4vag7d, 147, 1320.267386
osmo1yp2p22y0nludljhmvxh4ssqhyddmxc06y8kas9, 106, 1320.267386
osmo1ewlsynrrsujj33m9zq08l5z4e3vg0gz2ujjsvp, 666, 1320.267386
osmo1kjy2e9r2nuqx4cuazdf4ptphflqsndp6pvpwcr, 451, 1320.267386
osmo1rtuu5awkc2a2ynkt2hq6kn49n3gfnt44e3nq0w, 516, 1320.267386
osmo1n6enfuxckwzecqtwzg4ncduvjkmlz94rxls0qe, 340, 1320.267386
osmo1hfmme7269xw3nxkr2q4dl7ahkhxk9jlcaf4xxg, 147, 1320.267386
osmo19ey78vr7y7yrsn9qtqk24kmg98dk2fqd7ku65z, 131, 1320.267386
osmo15qjfqzw0s5mmxvg2htj30pvgpyy8axxeppk7ca, 2965, 1320.267386
osmo1zsn8zam2r0xz9gaawau9ezsnr30kmd4t9y8v0h, 307, 1320.267386
osmo1mmdcvakf5hsrz5mn6qyg9xwnyjhxewg2368a9e, 166, 1320.267386
osmo1j3p24vjzvdprntyf082us5g2h0rlzmycppxkxu, 975, 1320.267386
osmo1h382r7fnlkhqllcqgx5uvxh49zly3xyadvc92g, 124, 1320.267386
osmo1y9udl64u2shqcjf3xcc0ylk6456482pmy2end0, 670, 1320.267386
osmo19md46nr7xk6p3py9jzlhevhfgpvn7fl0m7wl6u, 134, 1320.267386
osmo16rf7m96cewenlc2782f6qwnrljs2zc7kt7u3hk, 100, 1320.267386
osmo14j5pjarruguqfzzgkrluar3n9tchvf2cqavll0, 110, 1320.267386
osmo1km26nq7cfqe3ljalgx2zzj6h3wppunfn0ak56e, 100, 1320.267386
osmo1yapj782cpsx9u2nd4fv7yvqrumv9jlzr7lfhlz, 202, 1320.267386
osmo12j35j2uzfng79hplp0qgs0hlh0u8sg40rvrxcc, 300, 1320.267386
osmo1x7h2lwts8g9yw84la0ztth9n6630cgy4fak2jk, 894, 1320.267386
osmo122anysnmx2hunvlnc3qsm3hla5g66a2lk2d3tt, 6108, 1320.267386
osmo10h5m8j9hny8gqctta6hc7q37p8p3vl7weqj7mr, 505, 1320.267386
