address, amount staked, GLTO
secret1n5qp3zjvh5k285hhrl6f0efc96f55uan678vd0, 257, 2150.327131
secret1nqyy0p6elcj8xgq5crhmkk63t6zfhtl2ehef6v, 102, 2150.327131
secret195rkyl9vnanql4v0xd050ne7yyevj74zrtfrc8, 216, 2150.327131
secret1e22xluhe87tecxyy9lfch9qw2kmjmgjw6fsuka, 138, 2150.327131
secret1kelr3hfxa5x5pmhwue2lzhggafk6wm4fxezf2z, 102, 2150.327131
secret1x9fmcdjwtl88per9kylyktr2laea6u94v2gv2y, 189, 2150.327131
secret1ddn455ntlf7fqlacgjvfvm8qcqdm60r0a9knwu, 101, 2150.327131
secret10e4sjep3v0geaz2aaqcy8v6vxexlx8pjgwnqpp, 648, 2150.327131
secret16gcskga3hrtajsynpy2awcrla4h8m37nq4qpvc, 1068, 2150.327131
secret1z6mqtlu38v70wwvarq8kalgefumezpcs0masdf, 1158, 2150.327131
secret143kur3f36pxqjszuvkffuwcdkqhgm3gp4eqy53, 201, 2150.327131
secret1du6h94k2j6zsqhrmuzhyxe3sy6lt95j24dfc2g, 428, 2150.327131
secret1zyd7h9a02ex6s5a50dfr9gwpeumjsqr68yys7p, 5250, 2150.327131
secret1rfd6sts3agkprv6f08846wct5p35uhtd9ayn8j, 100, 2150.327131
secret1s26kdzcyky5ev7st68qeu5c527cfu33jmen9j8, 1000, 2150.327131
secret1xxqmy0hnac8hntkc852azcvqucstlazl0rkrkn, 161, 2150.327131
secret15qqeu3mj4y4f0wu5758ym592n4aghynxzhpvn4, 163, 2150.327131
secret1dzdsfn0sr3e6qtcynp0xnmak9e75gvfgp5hclr, 308, 2150.327131
secret1najysu4tyq40c5lhkcphwfgf5xj8zk5haeshkr, 369, 2150.327131
secret1gn6afgc55ky59ls75lwj2s6cgumfunhtu2jpyd, 289, 2150.327131
secret1umdmzv5zlz7n86sl6vgnn4c96q56plmg23jv77, 556, 2150.327131
secret1wtta7jqddtu44us43fgj59punj76wzuu54cw3h, 118, 2150.327131
secret1urxy5uc0pn40c3t50ycju0nqvf349c7eguh0jg, 1753, 2150.327131
secret1t3syd2eml2lgpj4wscwyugmt4ygd5778h830pd, 79008, 2150.327131
secret10qt264ud2exq9qzpcc7xwu3k2fachfxxamxlz2, 872, 2150.327131
secret15n8kfsvygfr2nr8u0krjydmtl6xs083apkjzm6, 103, 2150.327131
secret1wxl5mmtg3lwc4wa6rnlws6s3zg3mkk8gqlmzsc, 348, 2150.327131
secret1d9zu8dpk2dha29pjx7vlpqz2dslxqzn6azmezu, 2340, 2150.327131
secret1czs0shv796w0ndstuq9ppfygvat0pzh0y0mfvn, 7417, 2150.327131
secret1ty0km82uz0q45cmdtmj4td8776976wr3uj5ym5, 305, 2150.327131
