address, amount staked, GLTO
stars1cpapj25cdx0x7d6dvu2kaqs8eg0elzqfxn7zng, 1405, 2639.706344
stars1f9cz2nefyfr2c9wjvkyzkuddn7x5fjlh2vws3d, 1114, 2639.706344
stars1z8zyckttkkgtp9s2vdyc8hd5nu4x6keup4j2jk, 2479, 2639.706344
stars1an7f7d9fq7dg8rl9h3st8wa9v2z88tfprrdky6, 1010, 2639.706344
stars1ncwxajpyv73a0pzgf7ak3yc2ngcsqlr34lawez, 1955, 2639.706344
stars187wy2grtqlxpp6j3gspyaej3c58efarg0f4v90, 1689, 2639.706344
stars1g6va0zvemdqzh3wx2hzr0328v4ermxk7vqk343, 2043, 2639.706344
stars13pdu3lla3jcs4r2ntwmdtewk4vhnaa8wcv9pk4, 6233, 2639.706344
stars1v462epq95lxqgqrcqv5s5pe924tgv2xp0ygtt8, 5298, 2639.706344
stars1agvjhfqzy266h0pmvdxl8dvhyrmwmwj50durz2, 1590, 2639.706344
stars15yz08m6kd5ssg8qlzwmsf2h5dc3p6x4qpqktm3, 2356, 2639.706344
stars1mr99n8jl9qqdjee6qj88dgw20rg5gl9y83vp4h, 100000, 2639.706344
stars1tc7f8dkyucn2cmvx6npsrfnfqt6dgvp9np6qr0, 4000, 2639.706344
stars1auetgqqsdzt0h8ws6kl8f9tx7fhx9u8uyklhjh, 2085, 2639.706344
stars16l0x9xu840u06qrph5n393ru3sc37l0hs6fvr7, 2636, 2639.706344
stars1r2gphsxrxr8kxul58taqgmzn7n4yqduggr690p, 1353, 2639.706344
stars1cn52lzf28w5ed6xanqu87xwfm0nxaeh3styrel, 1010, 2639.706344
stars1njsthsamgkzdqqg4awj7y6rxtuk3q26tkvrksf, 2400, 2639.706344
stars1wph6zm4y03luc9y69shu7hf886lezxnva7jqtd, 1100, 2639.706344
stars1pysevf4400h5s8a2mqucaed3awvje3t45vu4ge, 6000, 2639.706344
stars1qthhthjy68k4z8cjml95zq36jfsdxj83j328nd, 2068, 2639.706344
stars1tk062ueryn03wecn84k7wssmx7xmxt26s4wd2v, 3136, 2639.706344
stars1h8n4qh8u66psn6jf55vtq232rhjkr6wxepr2a4, 20000, 2639.706344
stars1jy34s0fnzw5v4s7xnkz795ewrah3ycydt56377, 2000, 2639.706344
stars1az0f6dhncud2ku4smyp0vz38fyhgtd4ja36erc, 1151, 2639.706344
stars1uje8h0es82xyl62w5hcrvur58hzgv5mwacxefy, 4376, 2639.706344
stars19e3lcuv452a99pthwapm56uqgj4jwc8757l3wq, 4000, 2639.706344
stars1dpta4rhzqy3dr2dex0cw0gr6aqw5wdvty02tky, 4887, 2639.706344
stars1j50w4vk02a9nscxpf99jez69gl6sqwxcpc8rrg, 1795, 2639.706344
stars15ma0kvf0pw4gtaeku8sas5nt7qvw8063val403, 3247, 2639.706344
stars16l4xzrmudr3fakwda7ufdkwyjdukdvsz7lxhan, 1793, 2639.706344
stars1n0mawt94heyh7ruyk8euyrn42nuu4gr7zd7zc8, 2500, 2639.706344
stars1sgtkl53fvgjnscahnpknaf6dxxe6cutv57lc8c, 8678, 2639.706344
stars1py4wyc4g3my0v6tl3yyhh28kyfq9mqar8kutw3, 2073, 2639.706344
stars1lzed3f2tp0xty2w55ytlumv0p732dgr7lmdneq, 2357, 2639.706344
stars19k5zgwukrchkah44c528dktt3vs2zeke6r4dq9, 1000, 2639.706344
stars16n8lenw76ygcj53qcj5px28383s0j7a76qtq2w, 2066, 2639.706344
stars1nztdgv0545srvxkm2aphcfc0esgvt0zgxxg2tf, 3035, 2639.706344
stars1p0qgznl2fwtmx3jqnua793ppwnq5jwf2sk36cf, 2041, 2639.706344
stars133cvats2ywavsnarrtkvmayvexpnl6f9de0t0v, 2100, 2639.706344
stars17e3444h2nfjrw8zge64tx7s86vuvp7kxguz35k, 1109, 2639.706344
stars1snsgt23xqr0s7ynzxqesyysc7p6jmja89hs4km, 3081, 2639.706344
stars1k6x0l6x2tkz7ha66m2fxx325ef9ehh06n2t6dc, 1030, 2639.706344
stars1nxnnr76g9q0hufnyy6kmzuj05r5sz2p3zma0ay, 9490, 2639.706344
stars1qsksnh5tvnd4ujrf8q6huw4uehc3npxm65h3hj, 17019, 2639.706344
stars1uczwdw0va2a859mlurhkqlj3dr2ly0grf80qw2, 2169, 2639.706344
stars12aaxu76p79jjkyxwut0yts5gkux06jfs34t6uv, 1636, 2639.706344
stars1dw63qcgl0exnasauupvtfz8mdtm3kjxn2shkzh, 4834, 2639.706344
stars1audssc6c4zla656gul3vkrw5j6gnvm5nna5v3l, 1260, 2639.706344
stars10a7q90f67z3y0gy8hnr5s89x98ts6qh3lqtntg, 15000, 2639.706344
stars1jxc7ph07y83qwsn4gud25rv7srhkdxt0gdk8zu, 1436, 2639.706344
stars1gj2n5wjnmr6fnd56ujkk6cje5nzqks95lnpfj5, 24300, 2639.706344
stars1rt56usjuqf4feae54vjqw40gxxksefu3lu09tk, 4740, 2639.706344
stars1p5kvg9pjv3jhtlhvezs8k69d3vt8mhpjnfccyv, 50128, 2639.706344
stars1s484tspagjdw5zw03nc5rg8fc6gw5r6rr48wa8, 2457, 2639.706344
stars166jxmsf24hgdn9xcjanemwvkf3d6e0gmv035g2, 28422, 2639.706344
stars144j3gyr37hg3jk548xy3yll9ludj5uxm8l2z3m, 2279, 2639.706344
stars1hweykrmnzxv8hmkz9hr92rzramkjduce64ya9s, 1851, 2639.706344
stars1074c8an6aps829sx9h36m674ky4d8jlux9c9ke, 2156, 2639.706344
stars1nj3cdral67qrxq8l8m5eq5fmx84l5mmjtqjy6x, 3358, 2639.706344
stars169zpv0ydud88fwwqf6qx8080wlg6ngq7jk63ax, 1005, 2639.706344
stars19ee2yv234v4y64kp0jjy896kkrrdts8cc87ep6, 2100, 2639.706344
stars1mzlqqtcf35jugszl3ay5m3mdu6j2nzsdes4v6q, 1166, 2639.706344
stars18qqe04qz93qs4wya085sfr07k7nltj0r48m8ae, 1472, 2639.706344
stars1e5x5f27aczc7zutn7rppm99ny8pghs0q02wmv0, 1476, 2639.706344
stars1gjsxqd24fjf8jamaa2r5cas07a585h9lx0mewk, 3766, 2639.706344
stars1t5uzvck5unsdrjr6cxhz6lpy2tn9lu7472uj4d, 29106, 2639.706344
stars1mjajxeulw2kanh6ljkjkt42h6fxp20z8sxn7wh, 2000, 2639.706344
stars1sj4fv5cycspr4vds4ld3rsyfwcxlluvycl6dhx, 4900, 2639.706344
stars1unylwvxj6lymrpwmmpe5m7qlw6pqqd0c494etx, 4654, 2639.706344
stars1g4spcxptk8akl5assv7k0mrdwuahwfjyprnep6, 1422, 2639.706344
stars1tc06e5xf97k77q7qp32v8djt75e9thz92fvu7z, 2121, 2639.706344
stars1jm03c2yqy0xr0pfejs2k5ygr5lf88pxwr93aq5, 13020, 2639.706344
stars17ape0gst9pqfmwu52hqdm28ggs067g7y46939t, 6489, 2639.706344
stars1esz99pkst6xgx6c0cg9ytt6wjnpnp85j7y8wyj, 1098, 2639.706344
stars1xvr5g7cd2tw2fgdq0hlsr7vant5jkk6lkqrdrg, 2334, 2639.706344
stars1u67gk95xasl28fgg02cj82k3wkfg7rpl636zac, 1696, 2639.706344
stars1cp2ufh3ze5zpuphccjg32pde93ctva39xcx845, 4026, 2639.706344
stars1g8lfd4q6xcuu24fuawwsaej72e4t2rpya6v5cr, 1002, 2639.706344
stars1rgt0wm6cqm7lj4jt6qjv2dx2uhtqj5r0pu40tq, 2051, 2639.706344
stars1kgc2pfavpt03kjpkw27znh3aag6z7840x8f5ys, 5000, 2639.706344
stars1ckwnvegsc9ygf38yx6uq64c4ktddvvyglp5m7j, 1887, 2639.706344
stars1fs8er0greualh3juwem3nfn4fzcru94h2y68y9, 1019, 2639.706344
stars12c79t05thcjnqql29durezhyu0w7czh2sxypsz, 1001, 2639.706344
stars1kpaqdp7sfgy0nyssv0rme9psfquyfd83u6t8pw, 1247, 2639.706344
stars17avmednmcacw4xad2aat065zzq22353ky7x2zk, 2209, 2639.706344
stars1rkkwrn3zg5mp6wq0kt96e00uwacc7dx0xxy89t, 2500, 2639.706344
stars18r44vuj0rca8jedfw836rzu7fge5ez53hay3vd, 1581, 2639.706344
stars188upujnnv2gtgjfpczksmdpyzagr7n0m4rjw70, 100001, 2639.706344
stars1ts92tkwx80p2fz4yvnt5faa8l93v8pjd6l8dlr, 3581, 2639.706344
stars19y6jlhquna7sv7d26s6hcxx50dpk7zh0r95zxy, 1001, 2639.706344
stars1mayqqyawx2dug56htg9u9p0h3kdtz6h5afacl8, 1000, 2639.706344
stars135fcq3yd5m3tukz3lmfuya3sf65uukf6z92e88, 3168, 2639.706344
stars1p5v47xyrthlw2q2drpvynduq6kfxfx9ms2jjuv, 1018, 2639.706344
stars1tzpeje0gzk3z5fhazjusxrcgrtt6j05yf4d8gy, 1292, 2639.706344
stars1q9w2v5l70v7l5c3k8aey3w7v5vktvtwu8tcf6u, 1313, 2639.706344
stars1qfgzu3h0f37x0llu4u04sjzw8cfsay88s5czls, 3460, 2639.706344
stars1hns3f3l86nlcyqxwz598ymmpp5d4ztcgfvgqxg, 2707, 2639.706344
stars1wvpudah7tnj8yhxv42ksc2m09zjeljfg6jg3jv, 2173, 2639.706344
stars1st689vst2qfw20lmsqww79jx9gyz40mwve8guz, 1270, 2639.706344
stars1ptyz58xdpc66f4pxgqg5h99axjmpp7yjeuduy2, 3047, 2639.706344
stars1f0t2mgx8520dc5xkdcmjygjec0lwfdw5jj753y, 3214, 2639.706344
stars1rct6yy80juykan85zudkp9chvmqfzgnz2azgge, 9391, 2639.706344
stars1jqrlk2xcjnh8pfnljd0mancmzyzr7yvp3tg7h4, 3752, 2639.706344
stars1dxy5vd2xe3s48hlwrpy9xeepqzn3jg9h3f39ry, 2654, 2639.706344
stars1ydrskl8w27n3dyxzgl233uazpgxarerdd8u5cm, 1061, 2639.706344
stars1m3j4zw6k8rjm9s6q4apdmjk3r00eazxhm8qsjl, 1816, 2639.706344
stars1w875kdjh3yxxdurrctu2ze7hjm8mdp9qjvaywp, 7125, 2639.706344
stars1g5apcfexl2gh0r962w782fe2sczcz085u0282j, 8812, 2639.706344
stars1zkqj7atw8sf4ua2hddkq0g3pras4zvxuzucegl, 2062, 2639.706344
stars1ymp6mtwdefclcmgk3whp6n6f5tcgrprulrgm5h, 1710, 2639.706344
stars1mycv25rgqhcaygs6v0sysf4gcqxye4apuw3q28, 4237, 2639.706344
stars1h97g0vka07m3ntzr4s85xwpzpeszxp4hkp3mn3, 23484, 2639.706344
stars1ftkdaf64j80fvdxc93n489djm0hd3830xs6ksf, 2000, 2639.706344
stars1ed4xz2gklxrsga3gnc7t6eu28eejdsf0y0eawh, 2500, 2639.706344
stars15k4emrwdfcx8ez025d3qkd6ulpn9qwk092vldj, 1587, 2639.706344
stars1ldzm9fwj5neh0rj0per4545yt2zvf8qspe5xnz, 1622, 2639.706344
stars1q4lqj27y44m4kf30s9q5jggp93cqpfxs9ffjez, 2122, 2639.706344
stars147cq9ae52gmzn9x7vzly7a69hr2hwx06u93cpc, 729480, 2639.706344
stars1nd7glun38zvpj9frwtcgnj2pjdkf2ylkww08kc, 2676, 2639.706344
stars1xe0cpn002wge9ulguzyks09pnsqtw84mx2ydx5, 2893, 2639.706344
stars1cwhnjjzqj6nqmqlgq3rlph8fju0veggzukvj7w, 1661, 2639.706344
stars1d6f6ezemkpf5qeep9t9nj6vtgevds80v0r6ljz, 1155, 2639.706344
stars1zwuueyd3trsdpyny5vnjrf5aflejxp30vty6dy, 1694, 2639.706344
stars1ax0cj080r6fpluet3a48nv77p3nd0p33qcgq3q, 1006, 2639.706344
stars1wqw8es7cxc0dqgjq72gyy34n3f7zejzdl2qxt0, 4000, 2639.706344
stars1cf72ak6autu0wxc23zfl45q04dpvp98hwy4ew2, 3052, 2639.706344
stars19p05zj8wj3ztn7t5xtfl9uymzfah33dccke96h, 2884, 2639.706344
stars1fk6j237q296tte4jkatkfftu3tmnnm4683v308, 1466, 2639.706344
stars1mjp88d4dx7t76kesf4patplr0g0zhzdkq9p9wq, 6175, 2639.706344
stars1r9ly5a9chf8ll5p2vezczlmq24vag82srwy2ww, 11757, 2639.706344
stars1f74ck7yxhljth50uh4tuc0alvacmc43uyfzuan, 12750, 2639.706344
stars14hamq9cha2rg78ugymhjlkxrh39ud033xwxzp6, 1906, 2639.706344
stars1thqvw5r3g58hyhf5zd6yd6c702tqvgan4z5vxk, 1391, 2639.706344
stars1p7pxhn6s25qjrjlqgvxa8q35mp6rl099rxjxrw, 5500, 2639.706344
stars1eu67gjya3wu8dmp787c3f5vg4mkv4fcpy8h3h4, 4676, 2639.706344
stars1k4a4lxz7z2a3gkmrdydd2guuc0j5dc77amtfs7, 10375, 2639.706344
stars1gefgn4vv8sef6q5qkrdjrczdglpx4nfe9qz2qx, 1959, 2639.706344
stars1fya67xh7e0ug0mkw0hc4v4heja6f30tx6gt5rv, 1075, 2639.706344
stars1mjzs7x4pyg72jtd9fqq9mwevzcz0zs9324sya8, 1026, 2639.706344
stars1xauv4w65h96u4nc707e4ry7upmlekd59psnuk4, 1005, 2639.706344
stars1x67eqdc89ha88h5662a0s50m8mk3q7cxnyw2l5, 270786, 2639.706344
stars1ut0yh8q0r3edk6dh2qglayvdmsfm7pe5fyfyxa, 15600, 2639.706344
stars15hqfu8xc9f7fqrz4ryjsd27umpapf5t72pzm6l, 1053, 2639.706344
stars1v82g8tcw3au43hdd9yrrqg7ssu7mxmhd9rlyxp, 2129, 2639.706344
stars19yssr677uxtauv8hpfg4t4ystqx4dj9xsqvpfl, 2547, 2639.706344
stars1hq44q49ck27tkxvhztzlkvjzn2zxv976mjan25, 1001, 2639.706344
stars1k0dksss83h0dyyw2le0hkqmr6y88am8tu5hmrp, 13410, 2639.706344
stars1wx3gcudvtxnsrvvhqzgqkuqxylmsqdc746nrzf, 2999, 2639.706344
stars1ezzjphl34z82dhcs7ltfv2eamlxeyrhxf9ntv9, 13928, 2639.706344
stars15ske2zdx6z3pg6tjjz6fltfskx5fmwpz4vcf0v, 9601, 2639.706344
stars126h30qqj5c8jf2u6xd5rm76nvkgzumgrc25v47, 1450, 2639.706344
stars1zz9nyws26qgm4ft3n3fhs0g4l9arxl0xnn9869, 1114, 2639.706344
stars1yu63kmfau0dtuv7p8dfarr4asm9jjxqu5z8plz, 1834, 2639.706344
stars18fccqhr3agtd5q8r0r24fe8x6x4lks9ck567y6, 2100, 2639.706344
stars1y5rqpjeawcal6elstpdwhvnhet9lgts38vprjw, 4615, 2639.706344
stars1j96vu4dyf8qvzstn50dgwc2032t7ny7mmqy49x, 1011, 2639.706344
stars1q2rn9es3jql8jkx3wv3nlp28ry8zmla5schvjs, 7601, 2639.706344
stars1mmxtyrlmda52c3z80wev7lmmez96q3x6n0dm8h, 1486, 2639.706344
stars10mk5plshrs5awppdemksa6fvmhgfkfrxf0flm8, 2540, 2639.706344
stars1l7qmqe03ukh0ufevvhrr3xs4u8pa0tu262xazx, 1010, 2639.706344
stars1uj2ny4pycvg6aj42fppmt7l6tkcpad8zdhtsrl, 5577, 2639.706344
stars1k2q49x6t46rvmyvllkl09msnpnf7p5ju8n28ew, 16832, 2639.706344
stars1wlvfa8mr62gnpekweghw6f4rae80xnmd7lksat, 2982, 2639.706344
stars1qmrtx48epn4s0mfhk0j5m84v0v7uhekpveq0t6, 3500, 2639.706344
stars1vaczghmd2j7wntc9sdmqe0lm8wplcv663h3dnq, 1307, 2639.706344
stars1nmnezzt5psjj25hdd463m8pajpxcej2q5d6law, 1513, 2639.706344
stars179k0d2yctkcr0fj4czs363c6tl6u4s6lhhhzyp, 2753, 2639.706344
stars1yfwnzs5m5kelcpw38st9zzvqeghsd4ml3eafyq, 1400, 2639.706344
stars1u6zv5trny7v6l5d30wc7890yqz2y4nnquuera5, 1059, 2639.706344
stars1ft8nt6uuegwzekwgawulj8lvm0q67z9heas0jv, 1019, 2639.706344
stars13c8gggm3p2anp2gexn48ma98crg3gcp0l283vq, 1017, 2639.706344
stars14cy6ek3csjhh2x85wmacdcqyzvattmawfhwfku, 2585, 2639.706344
stars17plszwvgf3m3r7z7must7nl8a9a90lw99kd04g, 2418, 2639.706344
stars1ah4pw4n7wy37zhr70r4uszxhtu8whu5k5v60hs, 1020, 2639.706344
stars13yhtnfr79rn2y5390rcacwh8cnnnmz92yvmq7d, 1001, 2639.706344
stars1smw3kq29p8lq89uwwhne3qryne02fxrfljvw4f, 1500, 2639.706344
stars1ywqjtwhtn02zkph80cgwlg6kkmzl8wg7zf08rl, 2020, 2639.706344
stars19ztsszsdl7dk2rfraxw0ezze5c0hnkhwdxvuvs, 1788, 2639.706344
stars1u2u8kjwmaxtgjuww7e8hx874zg9zsn34hpdhrr, 1958, 2639.706344
stars15h3ncp3fxywtf2uz7vnjxrk6xp4cyldehknw4l, 2021, 2639.706344
stars1qm9gkn8xrs87z57z4reevevjy4qztkdt0twfj3, 7110, 2639.706344
stars1dlnmk3u5upxkhyacs45shg7d39rwdeka7r5vkd, 1417, 2639.706344
stars1fkttqvqg5hehsreevga3pcxp54ge5zpay2uvdx, 2000, 2639.706344
stars1v5k4st3duzftjsrd4m82gwvz8aygcgz8hp0dfu, 30646, 2639.706344
stars1ex5f7lrwmzxhg2ne2ty8gy6n7yq6h2c0zfj72p, 1517, 2639.706344
stars1z7f9a7mst9maskshhg97frmje5a0qzzvp5j84k, 497506, 2639.706344
stars1s3e9yt09mwwyl8u6zjt54u2u9654m7lslp4y92, 1955, 2639.706344
stars1xh3l38d0vrd49r2hhutu6p5hgmk99vvyryz62g, 409642, 2639.706344
stars19l6haqxagtud5qsrhhqeqv2y6rvr6jfk5dqlgs, 2532, 2639.706344
stars1n7atxsktnn0urm5ejdwm493exruhrsl9e077ss, 1580, 2639.706344
stars1c2n5nkny6j3vl3cctqy8r8p4mwpwk8es0yvyfm, 2013, 2639.706344
stars132y2d9u7yad2k26nun33q04xpj8nsdlav2fzw0, 1602, 2639.706344
stars1u6v530yt3a089dkmt3zesytpwe2xne9ctdacnw, 11833, 2639.706344
stars1uh92fnkkxkk8kpj55dandt8v4755455nc3uzuq, 1917, 2639.706344
stars1dcvaclm5352qtd69j6vwv4yjcvlpv3d4a7jxl9, 1307, 2639.706344
stars1sj74gfwhh3gsucg2d3p25w239gv7jd7h3qmv4n, 1800, 2639.706344
stars13d3jylpkvx36w5a63e0lzjam3q0c7efdfz2hdk, 1471, 2639.706344
stars16jx06e73tt4daypk9ec5mlu8v924qaf3q7nv99, 1760, 2639.706344
stars1ykw8l0pnad0398zale7rue9ua9q9z78wscqhfg, 2002, 2639.706344
stars1ja6e7mds5ufady4tydg69annqt2x7skyr8s982, 7636, 2639.706344
stars1ae9rkls2x3wx9rrl8qt2dk9hk7yw2wgu9e780m, 5371, 2639.706344
stars1rpzsesr5cjgwwyj2t3edez45e0x37qxce03yuu, 3000, 2639.706344
stars1438de7zg36dfa4nl3a0qdj007twqu9e3m3fpt4, 1585, 2639.706344
stars1qmpds0qvrkpj7jzvw5m42k3ptnx2lrsys8kzyn, 26601, 2639.706344
stars12jmz3cfj748wl8f4jm6fprlkz3gflhujfaj57z, 5229, 2639.706344
stars1843thd5yyacx8yncdc0w007ptytkvek9ces5kg, 11810, 2639.706344
stars1cdpsx3kn8kzrga6d7y5rz9ann9vp0jdvkve2fm, 7000, 2639.706344
stars158k455lcxhrvvmrfu8m4c6g88fc2qgqqskf0f0, 1669, 2639.706344
stars163sd9k0tzxs8njgdn4f9nyq4qakfg5gxn8u2gf, 2440, 2639.706344
stars14h5w5tsxz4ep3sg0rg68kq75lxpvqu0updkh35, 2289, 2639.706344
stars1wr7zgzppqlxvm4nlcd2gqn05zjpmd9jsx22hnt, 2070, 2639.706344
